target,branch_id,rep_branch_id,shape,region_id,group_size,is_rep
harfbuzz,8817,8821,BRBR,/src/harfbuzz/src/OT/Layout/Common/Coverage.hh::OT::Layout::Common::Coverage::get_coverage(unsigned int) const::L50-99,5,0
harfbuzz,8818,8821,BRBR,/src/harfbuzz/src/OT/Layout/Common/Coverage.hh::OT::Layout::Common::Coverage::get_coverage(unsigned int) const::L50-99,5,0
harfbuzz,8819,8821,BRBR,/src/harfbuzz/src/OT/Layout/Common/Coverage.hh::OT::Layout::Common::Coverage::get_coverage(unsigned int) const::L50-99,5,0
harfbuzz,8820,8821,BRBR,/src/harfbuzz/src/OT/Layout/Common/Coverage.hh::OT::Layout::Common::Coverage::get_coverage(unsigned int) const::L50-99,5,0
harfbuzz,8821,8821,BRBR,/src/harfbuzz/src/OT/Layout/Common/Coverage.hh::OT::Layout::Common::Coverage::get_coverage(unsigned int) const::L50-99,5,1
harfbuzz,8833,8835,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::has_glyph_classes() const::L650-699,3,0
harfbuzz,8834,8835,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::has_glyph_classes() const::L650-699,3,0
harfbuzz,8835,8835,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::has_glyph_classes() const::L650-699,3,1
harfbuzz,8836,8838,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_glyph_class_def() const::L650-699,3,0
harfbuzz,8837,8838,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_glyph_class_def() const::L650-699,3,0
harfbuzz,8838,8838,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_glyph_class_def() const::L650-699,3,1
harfbuzz,8839,8841,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_lig_caret_list() const::L700-749,3,0
harfbuzz,8840,8841,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_lig_caret_list() const::L700-749,3,0
harfbuzz,8841,8841,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_lig_caret_list() const::L700-749,3,1
harfbuzz,8842,8845,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_var_store() const::L750-799,3,0
harfbuzz,8844,8845,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_var_store() const::L750-799,3,0
harfbuzz,8845,8845,BRBR,/src/harfbuzz/src/OT/Layout/GDEF/GDEF.hh::OT::GDEF::get_var_store() const::L750-799,3,1
harfbuzz,8886,8886,BRBR,/src/harfbuzz/src/hb-array.hh::_ZNK10hb_array_tIKcE2asIN2OT16OpenTypeFontFileELj1ETnPN12hb_enable_ifIXeqT0_Li1EEvE4typeELPv0EEEPKT_v::L250-299,1,1
harfbuzz,8973,8973,BRBR,"/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::get_face(unsigned int, unsigned int*) const::L450-499",3,1
harfbuzz,8975,8973,BRBR,"/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::get_face(unsigned int, unsigned int*) const::L450-499",3,0
harfbuzz,8972,8973,BRBR,"/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::get_face(unsigned int, unsigned int*) const::L450-499",3,0
harfbuzz,8977,8978,BRBR,/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::sanitize(hb_sanitize_context_t*) const::L500-549,4,0
harfbuzz,8978,8978,BRBR,/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::sanitize(hb_sanitize_context_t*) const::L500-549,4,1
harfbuzz,8979,8978,BRBR,/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::sanitize(hb_sanitize_context_t*) const::L500-549,4,0
harfbuzz,8980,8978,BRBR,/src/harfbuzz/src/hb-open-file.hh::OT::OpenTypeFontFile::sanitize(hb_sanitize_context_t*) const::L500-549,4,0
harfbuzz,9105,9107,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_script_list() const::L4200-4249,3,0
harfbuzz,9106,9107,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_script_list() const::L4200-4249,3,0
harfbuzz,9107,9107,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_script_list() const::L4200-4249,3,1
harfbuzz,9108,9108,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_feature_list() const::L4200-4249,1,1
harfbuzz,9109,9110,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_feature_list() const::L4250-4299,2,0
harfbuzz,9110,9110,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_feature_list() const::L4250-4299,2,1
harfbuzz,9111,9113,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_lookup_count() const::L4250-4299,3,0
harfbuzz,9112,9113,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_lookup_count() const::L4250-4299,3,0
harfbuzz,9113,9113,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_lookup_count() const::L4250-4299,3,1
harfbuzz,9116,9119,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_feature_variations() const::L4250-4299,3,0
harfbuzz,9118,9119,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_feature_variations() const::L4250-4299,3,0
harfbuzz,9119,9119,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_feature_variations() const::L4250-4299,3,1
harfbuzz,9120,9120,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::get_feature_tag(unsigned int) const::L4300-4349,1,1
harfbuzz,9122,9122,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::accelerator_t<OT::Layout::GPOS>::accelerator_t(hb_face_t*)::L4450-4499,1,1
harfbuzz,9123,9123,BRBR,/src/harfbuzz/src/hb-ot-layout-gsubgpos.hh::OT::GSUBGPOS::accelerator_t<OT::Layout::GPOS>::~accelerator_t()::L4450-4499,1,1
