target,branch_id,rep_branch_id,shape,region_id,group_size,is_rep
libpng,7183,7183,BRR-,/src/libpng/png.c::OSS_FUZZ_png_free_data::L550-599,1,1
libpng,7190,7190,BRR-,/src/libpng/png.c::OSS_FUZZ_png_free_data::L650-699,1,1
libpng,7250,7250,BRR-,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L150-199,1,1
libpng,7253,7254,BRR-,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L200-249,2,0
libpng,7254,7254,BRR-,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L200-249,2,1
libpng,7294,7294,BRBR,/src/libpng/pngrtran.c::OSS_FUZZ_png_do_read_transformations::L4750-4799,1,1
libpng,7402,7402,BRBR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_sCAL::L2400-2449,1,1
libpng,7260,7260,BRBR,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L800-849,1,1
libpng,7266,7266,BRR-,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L850-899,1,1
libpng,7333,7333,BRBR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_cHRM::L1250-1299,1,1
libpng,7192,7192,BRR-,/src/libpng/png.c::OSS_FUZZ_png_zstream_error::L1000-1049,1,1
libpng,7242,7242,BRBR,/src/libpng/png.c::OSS_FUZZ_png_muldiv::L3350-3399,1,1
libpng,7245,7245,BRR-,/src/libpng/pngmem.c::OSS_FUZZ_png_realloc_array::L100-149,1,1
libpng,7246,7246,BRR-,/src/libpng/pngmem.c::OSS_FUZZ_png_realloc_array::L150-199,1,1
libpng,7472,7472,BRR-,/src/libpng/pngset.c::OSS_FUZZ_png_set_text_2::L850-899,1,1
libpng,7332,7332,BBRR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_sBIT::L1200-1249,1,1
libpng,7423,7423,RB-R,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2700-2749,1,1
libpng,7429,7431,BRR-,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2750-2799,2,0
libpng,7431,7431,BRR-,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2750-2799,2,1
libpng,7438,7438,BRR-,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2800-2849,1,1
libpng,7397,7397,-BBR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_pCAL::L2300-2349,1,1
libpng,7182,7182,BR--,/src/libpng/png.c::OSS_FUZZ_png_free_data::L500-549,1,1
libpng,7189,7189,BR--,/src/libpng/png.c::OSS_FUZZ_png_free_data::L600-649,1,1
libpng,7247,7247,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L100-149,2,1
libpng,7249,7247,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L100-149,2,0
libpng,7252,7252,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L150-199,1,1
libpng,7255,7255,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L200-249,1,1
libpng,7256,7256,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L750-799,1,1
libpng,7261,7261,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L800-849,1,1
libpng,7268,7268,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L900-949,2,1
libpng,7267,7268,BR--,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L900-949,2,0
libpng,7275,7275,BR--,/src/libpng/pngrtran.c::pngrtran.c:png_init_rgb_transformations::L1200-1249,1,1
libpng,7278,7278,BR--,/src/libpng/pngrtran.c::OSS_FUZZ_png_init_read_transformations::L1450-1499,1,1
libpng,7279,7279,BR--,/src/libpng/pngrtran.c::OSS_FUZZ_png_read_transform_info::L1900-1949,1,1
libpng,7281,7281,BR--,/src/libpng/pngrtran.c::OSS_FUZZ_png_read_transform_info::L1950-1999,1,1
libpng,7293,7293,BR--,/src/libpng/pngrtran.c::OSS_FUZZ_png_do_read_transformations::L4750-4799,1,1
libpng,7343,7343,BR--,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_sRGB::L1300-1349,1,1
libpng,7376,7376,--BR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_eXIf::L2000-2049,1,1
libpng,7425,7425,BR--,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_iTXt::L2750-2799,1,1
libpng,7458,7458,BR--,/src/libpng/pngrutil.c::OSS_FUZZ_png_read_start_row::L4450-4499,1,1
libpng,7463,7463,BR--,/src/libpng/pngrutil.c::OSS_FUZZ_png_read_start_row::L4500-4549,1,1
libpng,7291,7291,-B-R,/src/libpng/pngrtran.c::pngrtran.c:png_do_expand::L4500-4549,1,1
libpng,7389,7389,--BR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_pHYs::L2150-2199,1,1
libpng,7416,7416,BR--,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_zTXt::L2650-2699,1,1
libpng,7482,7482,-B-R,/src/libpng/pngset.c::OSS_FUZZ_png_set_tRNS::L1000-1049,3,1
libpng,7483,7482,-B-R,/src/libpng/pngset.c::OSS_FUZZ_png_set_tRNS::L1000-1049,3,0
libpng,8105,7482,-B-R,/src/libpng/pngset.c::OSS_FUZZ_png_set_tRNS::L1000-1049,3,0
libpng,7685,7685,-B-R,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_bKGD::L1950-1999,1,1
