target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
libpng,7183,/src/libpng/png.c,OSS_FUZZ_png_free_data,565,8,T,   if (info_ptr->splt_palettes != NULL &&,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":12.0,""hit_div"":44.4},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":8.95,""hit_div"":22.2}]","[""cmplog"", ""naive"", ""value_profile""]",0,10,0,10,0,0,8,2,0,10,0,0,1.0,12.0,44.4,BRR-,/src/libpng/png.c::OSS_FUZZ_png_free_data::L550-599,1
libpng,7190,/src/libpng/png.c,OSS_FUZZ_png_free_data,674,8,T,   if (num != -1),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":11.95,""hit_div"":71.1},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":5.75,""hit_div"":41.9}]","[""cmplog"", ""naive"", ""value_profile""]",0,10,0,10,0,0,8,2,0,10,0,0,1.0,11.95,71.1,BRR-,/src/libpng/png.c::OSS_FUZZ_png_free_data::L650-699,1
libpng,7250,/src/libpng/pngread.c,OSS_FUZZ_png_read_info,159,16,T,      else if (chunk_name == png_PLTE),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":12.0,""hit_div"":118.1},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":6.1,""hit_div"":28.7}]","[""cmplog"", ""naive"", ""value_profile""]",0,10,0,10,0,0,8,2,0,10,0,0,1.0,12.0,118.1,BRR-,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L150-199,1
libpng,7254,/src/libpng/pngread.c,OSS_FUZZ_png_read_info,229,16,T,      else if (chunk_name == png_sPLT),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":12.0,""hit_div"":493.9},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":9.1,""hit_div"":167.4}]","[""cmplog"", ""naive"", ""value_profile""]",0,10,0,10,0,0,8,2,0,10,0,0,1.0,12.0,493.9,BRR-,/src/libpng/pngread.c::OSS_FUZZ_png_read_info::L200-249,2
libpng,7294,/src/libpng/pngrtran.c,OSS_FUZZ_png_do_read_transformations,4792,14,T,         if (png_ptr->num_trans != 0 &&,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":10.95,""hit_div"":619.2},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":10.75,""hit_div"":315.6}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,2,8,0,10,0,0,1.0,10.95,619.2,BRBR,/src/libpng/pngrtran.c::OSS_FUZZ_png_do_read_transformations::L4750-4799,1
libpng,7402,/src/libpng/pngrutil.c,OSS_FUZZ_png_handle_sCAL,2403,13,T,   else if (length < 4),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":9.9,""hit_div"":35.9},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":10.55,""hit_div"":8.5}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,9,1,0,0,10,0,10,0,0,1.0,10.55,35.9,BRBR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_sCAL::L2400-2449,1
libpng,7260,/src/libpng/pngread.c,OSS_FUZZ_png_read_end,833,17,F,             || (png_ptr->mode & PNG_HAVE_CHUNK_AFTER_IDAT) != 0),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":9.8,""hit_div"":3.6},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":8.75,""hit_div"":5.4}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,9,1,0,2,8,0,10,0,0,0.9,9.8,5.4,BRBR,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L800-849,1
libpng,7266,/src/libpng/pngread.c,OSS_FUZZ_png_read_end,897,16,T,      else if (chunk_name == png_iCCP),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":8.75,""hit_div"":6.1},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":7.35,""hit_div"":4.4}]","[""cmplog"", ""naive"", ""value_profile""]",0,10,0,8,2,0,9,1,0,10,0,0,0.9,8.75,6.1,BRR-,/src/libpng/pngread.c::OSS_FUZZ_png_read_end::L850-899,1
libpng,7333,/src/libpng/pngrutil.c,OSS_FUZZ_png_handle_cHRM,1256,8,T,   if (length != 32),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":10.6,""hit_div"":48.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":9.5,""hit_div"":79.6}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,10,0,0,2,8,0,10,0,0,0.9,10.6,79.6,BRBR,/src/libpng/pngrutil.c::OSS_FUZZ_png_handle_cHRM::L1250-1299,1
libpng,7192,/src/libpng/png.c,OSS_FUZZ_png_zstream_error,1007,7,T,      case Z_OK:,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":6.24,""hit_div"":3.1},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":7.79,""hit_div"":30.2}]","[""cmplog"", ""naive"", ""value_profile""]",0,9,1,8,2,0,8,2,0,9,1,0,0.8,7.79,30.2,BRR-,/src/libpng/png.c::OSS_FUZZ_png_zstream_error::L1000-1049,1
