target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
harfbuzz,naive,1,24,600,14400,17002,53853000.0,0.229525,4101
harfbuzz,naive,2,24,600,14400,17002,53274600.0,0.22706,4096
harfbuzz,naive,3,24,600,14400,17002,53868600.0,0.229592,4079
harfbuzz,naive,4,24,600,14400,17002,53539800.0,0.228191,4089
harfbuzz,naive,5,24,600,14400,17002,54552300.0,0.232506,4222
harfbuzz,naive,6,24,600,14400,17002,54036000.0,0.230305,4097
harfbuzz,naive,7,24,600,14400,17002,54315600.0,0.231497,4101
harfbuzz,naive,8,24,600,14400,17002,53208600.0,0.226779,4095
harfbuzz,naive,9,24,600,14400,17002,55587900.0,0.23692,4234
harfbuzz,naive,10,24,600,14400,17002,54396300.0,0.231841,4128
harfbuzz,cmplog,1,24,600,14400,17002,60054600.0,0.255957,4661
harfbuzz,cmplog,2,24,600,14400,17002,59768100.0,0.254736,4653
harfbuzz,cmplog,3,24,600,14400,17002,64413600.0,0.274535,4981
harfbuzz,cmplog,4,24,600,14400,17002,61187700.0,0.260786,4717
harfbuzz,cmplog,5,24,600,14400,17002,61118700.0,0.260492,4706
harfbuzz,cmplog,6,24,600,14400,17002,71215200.0,0.303524,5555
harfbuzz,cmplog,7,24,600,14400,17002,61573800.0,0.262432,4907
harfbuzz,cmplog,8,24,600,14400,17002,63555000.0,0.270876,5012
harfbuzz,cmplog,9,24,600,14400,17002,63528900.0,0.270765,5040
harfbuzz,cmplog,10,24,600,14400,17002,64857900.0,0.276429,4971
harfbuzz,value_profile,1,24,600,14400,17002,55276500.0,0.235592,4232
harfbuzz,value_profile,2,24,600,14400,17002,55533600.0,0.236688,4240
harfbuzz,value_profile,3,24,600,14400,17002,56622600.0,0.24133,4328
harfbuzz,value_profile,4,24,600,14400,17002,56008500.0,0.238712,4230
harfbuzz,value_profile,5,24,600,14400,17002,54547200.0,0.232484,4177
harfbuzz,value_profile,6,24,600,14400,17002,53540700.0,0.228194,4098
harfbuzz,value_profile,7,24,600,14400,17002,54767100.0,0.233421,4222
harfbuzz,value_profile,8,24,600,14400,17002,56275500.0,0.23985,4313
harfbuzz,value_profile,9,24,600,14400,17002,55050000.0,0.234627,4250
harfbuzz,value_profile,10,24,600,14400,17002,55014000.0,0.234474,4191
harfbuzz,value_profile_cmplog,1,24,600,14400,17002,74370600.0,0.316973,6413
harfbuzz,value_profile_cmplog,2,24,600,14400,17002,68475600.0,0.291848,5793
harfbuzz,value_profile_cmplog,3,24,600,14400,17002,65199900.0,0.277887,5449
harfbuzz,value_profile_cmplog,4,24,600,14400,17002,70174800.0,0.29909,5919
harfbuzz,value_profile_cmplog,5,24,600,14400,17002,69225300.0,0.295043,5524
harfbuzz,value_profile_cmplog,6,24,600,14400,17002,65187300.0,0.277833,5460
harfbuzz,value_profile_cmplog,7,24,600,14400,17002,63763500.0,0.271765,5386
harfbuzz,value_profile_cmplog,8,24,600,14400,17002,68316000.0,0.291168,5640
harfbuzz,value_profile_cmplog,9,24,600,14400,17002,66488400.0,0.283378,5407
harfbuzz,value_profile_cmplog,10,24,600,14400,17002,64766400.0,0.276039,5812
