target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
libpng,naive,1,24,600,14400,5990,19122600.0,0.231335,1407
libpng,naive,2,24,600,14400,5990,19488300.0,0.235759,1421
libpng,naive,3,24,600,14400,5990,19670400.0,0.237962,1442
libpng,naive,4,24,600,14400,5990,19371600.0,0.234347,1414
libpng,naive,5,24,600,14400,5990,20123100.0,0.243438,1466
libpng,naive,6,24,600,14400,5990,19966500.0,0.241544,1467
libpng,naive,7,24,600,14400,5990,19027800.0,0.230188,1443
libpng,naive,8,24,600,14400,5990,19073700.0,0.230743,1412
libpng,naive,9,24,600,14400,5990,19776300.0,0.239243,1440
libpng,naive,10,24,600,14400,5990,18617100.0,0.22522,1380
libpng,cmplog,1,24,600,14400,5990,23154900.0,0.280115,1717
libpng,cmplog,2,24,600,14400,5990,23762100.0,0.287461,1738
libpng,cmplog,3,24,600,14400,5990,23692800.0,0.286623,1766
libpng,cmplog,4,24,600,14400,5990,23175900.0,0.280369,1744
libpng,cmplog,5,24,600,14400,5990,23805600.0,0.287987,1748
libpng,cmplog,6,24,600,14400,5990,24319800.0,0.294208,1793
libpng,cmplog,7,24,600,14400,5990,22915800.0,0.277223,1739
libpng,cmplog,8,24,600,14400,5990,22903500.0,0.277074,1718
libpng,cmplog,9,24,600,14400,5990,23230500.0,0.28103,1712
libpng,cmplog,10,24,600,14400,5990,23110200.0,0.279575,1715
libpng,value_profile,1,24,600,14400,5990,22051500.0,0.266767,1677
libpng,value_profile,2,24,600,14400,5990,22737000.0,0.27506,1697
libpng,value_profile,3,24,600,14400,5990,22312800.0,0.269928,1682
libpng,value_profile,4,24,600,14400,5990,22299900.0,0.269772,1676
libpng,value_profile,5,24,600,14400,5990,21501000.0,0.260107,1623
libpng,value_profile,6,24,600,14400,5990,22866000.0,0.27662,1680
libpng,value_profile,7,24,600,14400,5990,24499200.0,0.296378,1859
libpng,value_profile,8,24,600,14400,5990,23051700.0,0.278867,1758
libpng,value_profile,9,24,600,14400,5990,22614000.0,0.273572,1685
libpng,value_profile,10,24,600,14400,5990,22145400.0,0.267903,1632
libpng,value_profile_cmplog,1,24,600,14400,5990,25433700.0,0.307683,1864
libpng,value_profile_cmplog,2,24,600,14400,5990,25524600.0,0.308783,1879
libpng,value_profile_cmplog,3,24,600,14400,5990,24091800.0,0.29145,1785
libpng,value_profile_cmplog,4,24,600,14400,5990,25994400.0,0.314466,1905
libpng,value_profile_cmplog,5,24,600,14400,5990,25359900.0,0.30679,1856
libpng,value_profile_cmplog,6,24,600,14400,5990,24104700.0,0.291606,1922
libpng,value_profile_cmplog,7,24,600,14400,5990,23724600.0,0.287007,1791
libpng,value_profile_cmplog,8,24,600,14400,5990,25639200.0,0.310169,1886
libpng,value_profile_cmplog,9,24,600,14400,5990,25687800.0,0.310757,1887
libpng,value_profile_cmplog,10,24,600,14400,5990,25778100.0,0.311849,1891
