target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,max_prob_div,max_dur_div,max_hit_div
libxml2,2274,/src/libxml2/entities.c,entities.c,313,9,T,        case 'q':,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":3.15,""hit_div"":22.5},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":7,""loser_blocked"":8,""prob_div"":0.5,""dur_div"":2.0,""hit_div"":63.4}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,2,8,0,7,3,0,1.0,3.15,63.4
libxml2,2686,/src/libxml2/parser.c,parser.c,11261,18,T,        else if (state == ']') {,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":1.0,""dur_div"":5.21,""hit_div"":12.4},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":7,""loser_blocked"":8,""prob_div"":0.5,""dur_div"":5.0,""hit_div"":7.0}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,8,2,2,8,0,10,0,0,7,3,0,1.0,5.21,12.4
libxml2,2692,/src/libxml2/parser.c,parser.c,11304,53,T,"        else if ((*cur == '""') || (*cur == '\'') || (*cur == ']')) {",2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":1.0,""dur_div"":5.21,""hit_div"":9.0},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":7,""loser_blocked"":8,""prob_div"":0.5,""dur_div"":5.0,""hit_div"":5.2}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,8,2,2,8,0,10,0,0,7,3,0,1.0,5.21,9.0
libxml2,3939,/src/libxml2/parser.c,parser.c,11831,7,F,		if (term == NULL) {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":1.6,""hit_div"":4.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":4.3,""hit_div"":4.4}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,0,10,0,2,8,0,10,0,0,1.0,4.3,4.8
libxml2,2203,/src/libxml2/dict.c,dict.c,1167,9,T,    if ((nbi > MAX_HASH_LEN) &&,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":4.9,""hit_div"":17.3},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":8,""loser_blocked"":8,""prob_div"":0.6,""dur_div"":3.6,""hit_div"":3.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",10,0,0,1,9,0,8,2,0,2,8,0,0.9,4.9,17.3
libxml2,2596,/src/libxml2/parser.c,parser.c,8015,9,F,    if (RAW != ';') {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":3.95,""hit_div"":3.0},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":1.18,""hit_div"":3.3}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,1,9,0,0,9,1,9,1,0,0.9,3.95,3.3
libxml2,3536,/src/libxml2/parser.c,parser.c,2352,9,F,	while (RAW != ';') { /* loop blocked by count */,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":3.15,""hit_div"":2.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":2.45,""hit_div"":1.7}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,0,10,0,2,8,0,9,1,0,0.9,3.15,2.8
libxml2,3542,/src/libxml2/parser.c,parser.c,2372,6,T,	if (RAW == ';') {,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":3.15,""hit_div"":2.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":2.45,""hit_div"":1.7}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,0,10,0,2,8,0,9,1,0,0.9,3.15,2.8
libxml2,2246,/src/libxml2/encoding.c,encoding.c,993,25,F,	if ((in[0] == 0xFE) && (in[1] == 0xFF)),2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":7.05,""hit_div"":235.2},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":7,""prob_div"":0.7,""dur_div"":9.5,""hit_div"":208.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",2,8,0,10,0,0,3,7,0,10,0,0,0.8,9.5,235.2
libxml2,2545,/src/libxml2/parser.c,parser.c,6461,10,T,	    if ((last != NULL) && (last != ret)),2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":7,""loser_blocked"":8,""prob_div"":0.5,""dur_div"":2.2,""hit_div"":1.6},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":4.65,""hit_div"":4.5}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",2,8,0,2,8,0,7,3,0,10,0,0,0.8,4.65,4.5
