target,branch_id,rep_branch_id,shape,region_id,group_size,is_rep
curl,129,129,BRBR---BR-,/src/curl/lib/http.c::Curl_http_host::L2150-2199,1,1
curl,165,165,BRBR---BR-,/src/curl/lib/http.c::Curl_http_cookies::L2750-2799,1,1
curl,37,37,BRBR------,/src/curl/lib/content_encoding.c::Curl_unencode_cleanup::L1000-1049,1,1
curl,42,42,BRBR------,/src/curl/lib/cookie.c::cookie.c:remove_expired::L400-449,1,1
curl,58,58,BRBR------,/src/curl/lib/cookie.c::Curl_cookie_freelist::L1550-1599,1,1
curl,62,62,BRBR------,/src/curl/lib/cookie.c::cookie.c:cookie_output::L1650-1699,1,1
curl,78,78,BRBR------,/src/curl/lib/headers.c::Curl_headers_cleanup::L300-349,1,1
curl,118,118,BRBR------,/src/curl/lib/http.c::Curl_http_done::L1700-1749,2,1
curl,116,118,BRBR------,/src/curl/lib/http.c::Curl_http_done::L1700-1749,2,0
curl,139,139,BRBR------,/src/curl/lib/http.c::Curl_http_body::L2350-2399,1,1
curl,210,210,BRBR------,/src/curl/lib/http.c::Curl_http_readwrite_headers::L3900-3949,1,1
curl,212,212,BRBR------,/src/curl/lib/http.c::Curl_http_readwrite_headers::L3950-3999,2,1
curl,213,212,BRBR------,/src/curl/lib/http.c::Curl_http_readwrite_headers::L3950-3999,2,0
curl,266,266,BRBR------,/src/curl/lib/mime.c::mime.c:search_header::L350-399,1,1
curl,272,272,BRBR------,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1750-1799,1,1
curl,276,277,BRBR------,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1800-1849,3,0
curl,277,277,BRBR------,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1800-1849,3,1
curl,274,277,BRBR------,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1800-1849,3,0
curl,279,279,BRBR------,/src/curl/lib/mime.c::Curl_mime_prepare_headers::L1850-1899,1,1
curl,399,399,BRBR------,/src/curl/lib/strcase.c::Curl_strncasecompare::L100-149,1,1
curl,418,422,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L550-599,5,0
curl,422,422,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L550-599,5,1
curl,423,422,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L550-599,5,0
curl,424,422,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L550-599,5,0
curl,417,422,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L550-599,5,0
curl,426,426,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L600-649,1,1
curl,430,430,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L650-699,1,1
curl,441,441,BRBR------,/src/curl/lib/transfer.c::transfer.c:readwrite_data::L800-849,1,1
