target,branch_id,rep_branch_id,shape,region_id,group_size,is_rep
curl,19,19,BRBR,/src/curl/lib/content_encoding.c::content_encoding.c::L1000-1049,1,1
curl,69,69,BRBR,/src/curl/lib/headers.c::headers.c::L300-349,1,1
curl,103,103,BRBR,/src/curl/lib/http.c::http.c::L1700-1749,2,1
curl,101,103,BRBR,/src/curl/lib/http.c::http.c::L1700-1749,2,0
curl,110,110,BRBR,/src/curl/lib/http.c::http.c::L1900-1949,1,1
curl,116,116,BRBR,/src/curl/lib/http.c::http.c::L1950-1999,2,1
curl,117,116,BRBR,/src/curl/lib/http.c::http.c::L1950-1999,2,0
curl,121,121,BRBR,/src/curl/lib/http.c::http.c::L2150-2199,1,1
curl,129,129,BRBR,/src/curl/lib/http.c::http.c::L2350-2399,1,1
curl,150,150,BRBR,/src/curl/lib/http.c::http.c::L2750-2799,2,1
curl,151,150,BRBR,/src/curl/lib/http.c::http.c::L2750-2799,2,0
curl,190,190,BRBR,/src/curl/lib/http.c::http.c::L3900-3949,1,1
curl,192,192,BRBR,/src/curl/lib/http.c::http.c::L3950-3999,2,1
curl,193,192,BRBR,/src/curl/lib/http.c::http.c::L3950-3999,2,0
curl,224,224,BRBR,/src/curl/lib/mime.c::mime.c::L350-399,1,1
curl,234,234,BRBR,/src/curl/lib/mime.c::mime.c::L1750-1799,1,1
curl,237,238,BRBR,/src/curl/lib/mime.c::mime.c::L1800-1849,4,0
curl,238,238,BRBR,/src/curl/lib/mime.c::mime.c::L1800-1849,4,1
curl,236,238,BRBR,/src/curl/lib/mime.c::mime.c::L1800-1849,4,0
curl,235,238,BRBR,/src/curl/lib/mime.c::mime.c::L1800-1849,4,0
curl,240,240,BRBR,/src/curl/lib/mime.c::mime.c::L1850-1899,1,1
curl,252,252,BRBR,/src/curl/lib/multi.c::multi.c::L650-699,1,1
curl,313,313,BRBR,/src/curl/lib/select.c::select.c::L200-249,1,1
curl,366,366,BRBR,/src/curl/lib/strerror.c::strerror.c::L500-549,1,1
curl,378,378,BRBR,/src/curl/lib/transfer.c::transfer.c::L550-599,3,1
curl,379,378,BRBR,/src/curl/lib/transfer.c::transfer.c::L550-599,3,0
curl,380,378,BRBR,/src/curl/lib/transfer.c::transfer.c::L550-599,3,0
curl,382,382,BRBR,/src/curl/lib/transfer.c::transfer.c::L600-649,2,1
curl,383,382,BRBR,/src/curl/lib/transfer.c::transfer.c::L600-649,2,0
curl,386,386,BRBR,/src/curl/lib/transfer.c::transfer.c::L650-699,1,1
