target,branch_id,rep_branch_id,shape,region_id,group_size,is_rep
libxml2,3939,3939,-BBR,/src/libxml2/parser.c::parser.c:xmlParseTryOrFinish::L11800-11849,1,1
libxml2,2203,2203,RBRB,/src/libxml2/dict.c::xmlDictQLookup::L1150-1199,1,1
libxml2,2596,2596,-BBR,/src/libxml2/parser.c::xmlParsePEReference::L8000-8049,1,1
libxml2,3536,3536,-BBR,/src/libxml2/parser.c::xmlParseCharRef::L2350-2399,2,1
libxml2,3542,3536,-BBR,/src/libxml2/parser.c::xmlParseCharRef::L2350-2399,2,0
libxml2,4373,4373,-BBR,/src/libxml2/xmlreader.c::xmlTextReaderRead::L1450-1499,1,1
libxml2,5107,5107,-BBR,/src/libxml2/parser.c::xmlParseCDSect::L9900-9949,2,1
libxml2,2655,5107,-BBR,/src/libxml2/parser.c::xmlParseCDSect::L9900-9949,2,0
libxml2,3210,3210,-BBR,/src/libxml2/xmlsave.c::xmlsave.c:xmlNodeDumpOutputInternal::L1050-1099,1,1
libxml2,2274,2274,BR--,/src/libxml2/entities.c::xmlGetPredefinedEntity::L300-349,1,1
libxml2,2686,2686,B-R-,/src/libxml2/parser.c::parser.c:xmlParseLookupInternalSubset::L11250-11299,2,1
libxml2,3883,2686,B-R-,/src/libxml2/parser.c::parser.c:xmlParseLookupInternalSubset::L11250-11299,2,0
libxml2,2692,2692,B-R-,/src/libxml2/parser.c::parser.c:xmlParseLookupInternalSubset::L11300-11349,1,1
libxml2,2243,2243,BR--,/src/libxml2/encoding.c::xmlDetectCharEncoding::L950-999,2,1
libxml2,2246,2243,BR--,/src/libxml2/encoding.c::xmlDetectCharEncoding::L950-999,2,0
libxml2,2312,2312,B-R-,/src/libxml2/parser.c::parser.c:xmlFatalErr::L250-299,1,1
libxml2,2313,2313,-B-R,/src/libxml2/parser.c::parser.c:xmlFatalErr::L250-299,1,1
libxml2,2347,2347,-B-R,/src/libxml2/parser.c::xmlParseCharRef::L2300-2349,1,1
libxml2,2708,2708,B-R-,/src/libxml2/parser.c::parser.c:xmlParseTryOrFinish::L11450-11499,1,1
libxml2,2983,2983,--BR,/src/libxml2/valid.c::xmlAddAttributeDecl::L2100-2149,2,1
libxml2,2985,2983,--BR,/src/libxml2/valid.c::xmlAddAttributeDecl::L2100-2149,2,0
libxml2,2233,2233,B-R-,/src/libxml2/encoding.c::xmlDetectCharEncoding::L950-999,2,1
libxml2,2241,2233,B-R-,/src/libxml2/encoding.c::xmlDetectCharEncoding::L950-999,2,0
libxml2,2270,2270,BR--,/src/libxml2/entities.c::xmlGetPredefinedEntity::L250-299,1,1
libxml2,2545,2545,-B-R,/src/libxml2/parser.c::parser.c:xmlParseElementChildrenContentDeclPriv::L6450-6499,1,1
libxml2,2727,2727,--RB,/src/libxml2/parser.c::parser.c:xmlParseTryOrFinish::L11750-11799,1,1
libxml2,2911,2911,BR--,/src/libxml2/uri.c::xmlBuildURI::L1950-1999,1,1
libxml2,3200,3200,B-R-,/src/libxml2/xmlsave.c::xmlsave.c:xmlSerializeHexCharRef::L100-149,1,1
libxml2,2530,2530,--BR,/src/libxml2/parser.c::xmlParseElementMixedContentDecl::L6200-6249,2,1
libxml2,2532,2530,--BR,/src/libxml2/parser.c::xmlParseElementMixedContentDecl::L6200-6249,2,0
libxml2,2701,2701,--BR,/src/libxml2/parser.c::parser.c:xmlCheckCdataPush::L11350-11399,1,1
libxml2,2518,2518,BR--,/src/libxml2/parser.c::xmlParseEnumerationType::L5900-5949,1,1
libxml2,2754,2754,B-R-,/src/libxml2/parser.c::xmlParseChunk::L12200-12249,1,1
libxml2,2804,2804,--BR,/src/libxml2/parserInternals.c::parserInternals.c:xmlSwitchInputEncodingInt::L1050-1099,1,1
libxml2,3003,3003,B-R-,/src/libxml2/valid.c::valid.c:xmlIsDocNameChar::L3550-3599,1,1
libxml2,3121,3121,RB--,/src/libxml2/xmlreader.c::xmlreader.c:xmlTextReaderFreeNodeList::L350-399,1,1
libxml2,2185,2185,RB--,/src/libxml2/dict.c::dict.c:xmlDictComputeFastQKey::L450-499,1,1
libxml2,2262,2262,-B-R,/src/libxml2/encoding.c::xmlCharEncFirstLineInput::L2250-2299,1,1
libxml2,2539,2539,B-R-,/src/libxml2/parser.c::parser.c:xmlParseElementChildrenContentDeclPriv::L6350-6399,1,1
libxml2,2945,2945,B-R-,/src/libxml2/valid.c::xmlNewDocElementContent::L900-949,1,1
libxml2,2951,2951,B-R-,/src/libxml2/valid.c::xmlFreeDocElementContent::L1100-1149,1,1
libxml2,3217,3217,--RB,/src/libxml2/xmlsave.c::xmlBufAttrSerializeTxtContent::L2000-2049,1,1
