target,fuzzer,time_h,mean_branch,min_branch,max_branch,n_trials
bloaty,aflplusplus,0.0,0.0,0,0,10
bloaty,aflplusplus,0.5,0.0,0,0,10
bloaty,aflplusplus,1.0,1149.8,888,1632,10
bloaty,aflplusplus,1.5,1149.8,888,1632,10
bloaty,aflplusplus,2.0,1237.6,939,1806,10
bloaty,aflplusplus,2.5,1237.6,939,1806,10
bloaty,aflplusplus,3.0,1468.5,1005,1882,10
bloaty,aflplusplus,3.5,1468.5,1005,1882,10
bloaty,aflplusplus,4.0,1587.3,1017,1968,10
bloaty,aflplusplus,4.5,1587.3,1017,1968,10
bloaty,aflplusplus,5.0,1717.5,1042,1993,10
bloaty,aflplusplus,5.5,1717.5,1042,1993,10
bloaty,aflplusplus,6.0,1755.0,1131,2005,10
bloaty,aflplusplus,6.5,1755.0,1131,2005,10
bloaty,aflplusplus,7.0,1777.9,1170,2033,10
bloaty,aflplusplus,7.5,1777.9,1170,2033,10
bloaty,aflplusplus,8.0,1792.3,1170,2055,10
bloaty,aflplusplus,8.5,1792.3,1170,2055,10
bloaty,aflplusplus,9.0,1801.6,1172,2068,10
bloaty,aflplusplus,9.5,1801.6,1172,2068,10
bloaty,aflplusplus,10.0,1844.3,1217,2083,10
bloaty,aflplusplus,10.5,1844.3,1217,2083,10
bloaty,aflplusplus,11.0,1883.1,1253,2210,10
bloaty,aflplusplus,11.5,1883.1,1253,2210,10
bloaty,aflplusplus,12.0,1923.9,1468,2216,10
bloaty,aflplusplus,12.5,1923.9,1468,2216,10
bloaty,aflplusplus,13.0,1952.6,1637,2221,10
bloaty,aflplusplus,13.5,1952.6,1637,2221,10
bloaty,aflplusplus,14.0,1962.8,1676,2228,10
bloaty,aflplusplus,14.5,1962.8,1676,2228,10
bloaty,aflplusplus,15.0,1978.9,1707,2232,10
bloaty,aflplusplus,15.5,1978.9,1707,2232,10
bloaty,aflplusplus,16.0,1994.1,1728,2241,10
bloaty,aflplusplus,16.5,1994.1,1728,2241,10
bloaty,aflplusplus,17.0,2001.0,1735,2245,10
bloaty,aflplusplus,17.5,2001.0,1735,2245,10
bloaty,aflplusplus,18.0,2013.1,1808,2249,10
bloaty,aflplusplus,18.5,2013.1,1808,2249,10
bloaty,aflplusplus,19.0,2016.6,1815,2253,10
bloaty,aflplusplus,19.5,2016.6,1815,2253,10
bloaty,aflplusplus,20.0,2020.7,1820,2255,10
bloaty,aflplusplus,20.5,2020.7,1820,2255,10
bloaty,aflplusplus,21.0,2025.0,1820,2257,10
bloaty,aflplusplus,21.5,2025.0,1820,2257,10
bloaty,aflplusplus,22.0,2030.5,1829,2257,10
bloaty,aflplusplus,22.5,2030.5,1829,2257,10
bloaty,aflplusplus,23.0,2033.4,1835,2268,10
bloaty,aflplusplus,23.5,2033.4,1835,2268,10
bloaty,aflplusplus,24.0,2039.4,1844,2300,10
bloaty,honggfuzz,0.0,0.0,0,0,10
bloaty,honggfuzz,0.5,0.0,0,0,10
bloaty,honggfuzz,1.0,1201.8,970,1469,10
bloaty,honggfuzz,1.5,1201.8,970,1469,10
bloaty,honggfuzz,2.0,1443.6,1214,1792,10
bloaty,honggfuzz,2.5,1443.6,1214,1792,10
bloaty,honggfuzz,3.0,1699.2,1281,1901,10
