fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,curl,923,1,9,10,10
aflplusplus,curl,924,1,9,10,10
aflplusplus,curl,925,10,0,10,10
aflplusplus,curl,926,9,1,10,10
aflplusplus,curl,4437,10,0,10,10
aflplusplus,curl,1,10,0,10,10
aflplusplus,curl,2,9,1,10,10
aflplusplus,curl,928,10,0,10,10
aflplusplus,curl,3,5,5,10,10
aflplusplus,curl,931,9,1,10,10
aflplusplus,curl,5,10,0,10,10
aflplusplus,curl,4,8,2,10,10
aflplusplus,curl,935,10,0,10,10
aflplusplus,curl,6,10,0,10,10
aflplusplus,curl,7,10,0,10,10
aflplusplus,curl,936,10,0,10,10
aflplusplus,curl,8,10,0,10,10
aflplusplus,curl,938,10,0,10,10
aflplusplus,curl,10,10,0,10,10
aflplusplus,curl,9,10,0,10,10
aflplusplus,curl,11,9,1,10,10
aflplusplus,curl,12,10,0,10,10
aflplusplus,curl,13,10,0,10,10
aflplusplus,curl,945,10,0,10,10
aflplusplus,curl,946,10,0,10,10
aflplusplus,curl,947,8,2,10,10
aflplusplus,curl,949,10,0,10,10
aflplusplus,curl,948,1,9,10,10
aflplusplus,curl,14,10,0,10,10
aflplusplus,curl,953,10,0,10,10
aflplusplus,curl,15,10,0,10,10
aflplusplus,curl,955,10,0,10,10
aflplusplus,curl,16,9,1,10,10
aflplusplus,curl,17,9,1,10,10
aflplusplus,curl,18,6,4,10,10
aflplusplus,curl,19,10,0,10,10
aflplusplus,curl,20,10,0,10,10
aflplusplus,curl,21,10,0,10,10
aflplusplus,curl,22,10,0,10,10
aflplusplus,curl,23,10,0,10,10
aflplusplus,curl,965,9,1,10,10
aflplusplus,curl,24,10,0,10,10
aflplusplus,curl,25,3,7,10,10
aflplusplus,curl,26,8,2,10,10
aflplusplus,curl,27,8,2,10,10
aflplusplus,curl,29,7,1,8,10
aflplusplus,curl,37,10,0,10,10
aflplusplus,curl,983,9,0,9,10
aflplusplus,curl,984,8,0,8,10
aflplusplus,curl,38,1,9,10,10
aflplusplus,curl,986,9,1,10,10
aflplusplus,curl,40,2,8,10,10
aflplusplus,curl,4493,1,9,10,10
aflplusplus,curl,41,2,8,10,10
aflplusplus,curl,4495,8,2,10,10
aflplusplus,curl,42,10,0,10,10
aflplusplus,curl,4496,8,2,10,10
aflplusplus,curl,43,9,1,10,10
aflplusplus,curl,44,5,4,9,10
aflplusplus,curl,991,9,0,9,10
aflplusplus,curl,993,10,0,10,10
aflplusplus,curl,46,10,0,10,10
aflplusplus,curl,45,10,0,10,10
aflplusplus,curl,47,10,0,10,10
aflplusplus,curl,48,10,0,10,10
aflplusplus,curl,1000,10,0,10,10
aflplusplus,curl,50,10,0,10,10
aflplusplus,curl,4509,10,0,10,10
aflplusplus,curl,4508,10,0,10,10
aflplusplus,curl,4510,2,8,10,10
aflplusplus,curl,51,0,10,10,10
aflplusplus,curl,52,2,8,10,10
aflplusplus,curl,53,10,0,10,10
aflplusplus,curl,54,10,0,10,10
aflplusplus,curl,55,10,0,10,10
aflplusplus,curl,56,10,0,10,10
aflplusplus,curl,57,10,0,10,10
aflplusplus,curl,4518,10,0,10,10
aflplusplus,curl,58,10,0,10,10
aflplusplus,curl,59,4,6,10,10
aflplusplus,curl,60,0,10,10,10
aflplusplus,curl,61,0,10,10,10
aflplusplus,curl,62,10,0,10,10
aflplusplus,curl,63,9,1,10,10
aflplusplus,curl,64,4,6,10,10
aflplusplus,curl,65,6,0,6,10
aflplusplus,curl,1014,5,1,6,10
aflplusplus,curl,3876,6,0,6,10
aflplusplus,curl,66,5,1,6,10
aflplusplus,curl,1017,3,7,10,10
aflplusplus,curl,3878,4,6,10,10
aflplusplus,curl,67,9,1,10,10
aflplusplus,curl,68,7,3,10,10
aflplusplus,curl,69,1,9,10,10
aflplusplus,curl,70,3,7,10,10
aflplusplus,curl,71,9,1,10,10
aflplusplus,curl,2713,10,0,10,10
aflplusplus,curl,2716,10,0,10,10
aflplusplus,curl,72,9,1,10,10
aflplusplus,curl,4533,7,1,8,10
aflplusplus,curl,1024,6,2,8,10
aflplusplus,curl,1025,6,1,7,10
aflplusplus,curl,1026,6,2,8,10
aflplusplus,curl,1865,8,0,8,10
aflplusplus,curl,1027,8,0,8,10
aflplusplus,curl,4534,7,1,8,10
aflplusplus,curl,1867,8,0,8,10
aflplusplus,curl,1028,8,0,8,10
aflplusplus,curl,1029,8,0,8,10
aflplusplus,curl,1870,8,0,8,10
aflplusplus,curl,1030,4,4,8,10
aflplusplus,curl,1031,2,6,8,10
aflplusplus,curl,1032,7,1,8,10
aflplusplus,curl,1033,7,1,8,10
aflplusplus,curl,1034,1,7,8,10
aflplusplus,curl,4535,0,8,8,10
aflplusplus,curl,1876,6,2,8,10
aflplusplus,curl,1877,5,3,8,10
aflplusplus,curl,1878,5,3,8,10
aflplusplus,curl,1879,8,0,8,10
aflplusplus,curl,1880,4,4,8,10
aflplusplus,curl,1881,8,0,8,10
aflplusplus,curl,1882,8,0,8,10
aflplusplus,curl,1035,8,0,8,10
aflplusplus,curl,1036,7,1,8,10
aflplusplus,curl,1037,8,0,8,10
aflplusplus,curl,1038,8,0,8,10
aflplusplus,curl,1039,7,1,8,10
aflplusplus,curl,73,10,0,10,10
aflplusplus,curl,3890,2,8,10,10
aflplusplus,curl,74,7,3,10,10
aflplusplus,curl,75,7,3,10,10
aflplusplus,curl,3891,8,2,10,10
aflplusplus,curl,3892,10,0,10,10
aflplusplus,curl,3893,10,0,10,10
aflplusplus,curl,3894,10,0,10,10
aflplusplus,curl,3895,10,0,10,10
aflplusplus,curl,76,0,10,10,10
aflplusplus,curl,77,7,3,10,10
aflplusplus,curl,78,10,0,10,10
aflplusplus,curl,79,6,4,10,10
aflplusplus,curl,80,10,0,10,10
aflplusplus,curl,4543,10,0,10,10
aflplusplus,curl,1047,10,0,10,10
aflplusplus,curl,81,10,0,10,10
aflplusplus,curl,4546,7,3,10,10
aflplusplus,curl,4547,10,0,10,10
aflplusplus,curl,82,10,0,10,10
aflplusplus,curl,1049,10,0,10,10
aflplusplus,curl,4549,10,0,10,10
aflplusplus,curl,1051,10,0,10,10
aflplusplus,curl,83,10,0,10,10
aflplusplus,curl,84,10,0,10,10
aflplusplus,curl,85,10,0,10,10
aflplusplus,curl,86,10,0,10,10
aflplusplus,curl,87,10,0,10,10
aflplusplus,curl,4556,10,0,10,10
aflplusplus,curl,88,10,0,10,10
aflplusplus,curl,89,0,10,10,10
aflplusplus,curl,90,3,7,10,10
aflplusplus,curl,91,10,0,10,10
aflplusplus,curl,92,1,9,10,10
aflplusplus,curl,93,8,2,10,10
aflplusplus,curl,94,4,6,10,10
aflplusplus,curl,1062,9,1,10,10
aflplusplus,curl,95,8,2,10,10
aflplusplus,curl,96,8,2,10,10
aflplusplus,curl,97,8,2,10,10
aflplusplus,curl,98,8,2,10,10
aflplusplus,curl,1067,8,2,10,10
aflplusplus,curl,99,7,3,10,10
aflplusplus,curl,100,10,0,10,10
aflplusplus,curl,101,8,2,10,10
aflplusplus,curl,102,6,4,10,10
aflplusplus,curl,1072,5,1,6,10
aflplusplus,curl,3908,6,0,6,10
aflplusplus,curl,103,5,5,10,10
aflplusplus,curl,104,6,4,10,10
aflplusplus,curl,105,7,3,10,10
aflplusplus,curl,106,10,0,10,10
aflplusplus,curl,107,8,2,10,10
aflplusplus,curl,108,6,4,10,10
