fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,bloaty,416,10,0,10,10
aflplusplus,bloaty,1,10,0,10,10
aflplusplus,bloaty,2,10,0,10,10
aflplusplus,bloaty,3,10,0,10,10
aflplusplus,bloaty,1387,10,0,10,10
aflplusplus,bloaty,1388,10,0,10,10
aflplusplus,bloaty,4,10,0,10,10
aflplusplus,bloaty,5,10,0,10,10
aflplusplus,bloaty,1389,10,0,10,10
aflplusplus,bloaty,6,10,0,10,10
aflplusplus,bloaty,7,10,0,10,10
aflplusplus,bloaty,1177,10,0,10,10
aflplusplus,bloaty,1390,10,0,10,10
aflplusplus,bloaty,8,10,0,10,10
aflplusplus,bloaty,1735,5,5,10,10
aflplusplus,bloaty,1737,5,5,10,10
aflplusplus,bloaty,9,5,5,10,10
aflplusplus,bloaty,1179,10,0,10,10
aflplusplus,bloaty,1392,10,0,10,10
aflplusplus,bloaty,1393,10,0,10,10
aflplusplus,bloaty,10,9,1,10,10
aflplusplus,bloaty,1395,10,0,10,10
aflplusplus,bloaty,11,0,10,10,10
aflplusplus,bloaty,12,0,10,10,10
aflplusplus,bloaty,13,6,4,10,10
aflplusplus,bloaty,1253,10,0,10,10
aflplusplus,bloaty,1254,10,0,10,10
aflplusplus,bloaty,14,3,7,10,10
aflplusplus,bloaty,15,3,7,10,10
aflplusplus,bloaty,16,3,7,10,10
aflplusplus,bloaty,17,1,9,10,10
aflplusplus,bloaty,18,3,7,10,10
aflplusplus,bloaty,19,1,9,10,10
aflplusplus,bloaty,20,1,9,10,10
aflplusplus,bloaty,21,0,10,10,10
aflplusplus,bloaty,22,2,8,10,10
aflplusplus,bloaty,23,1,9,10,10
aflplusplus,bloaty,24,5,5,10,10
aflplusplus,bloaty,25,1,9,10,10
aflplusplus,bloaty,26,3,7,10,10
aflplusplus,bloaty,27,3,7,10,10
aflplusplus,bloaty,1182,10,0,10,10
aflplusplus,bloaty,1401,10,0,10,10
aflplusplus,bloaty,28,6,4,10,10
aflplusplus,bloaty,1402,5,5,10,10
aflplusplus,bloaty,29,2,4,6,10
aflplusplus,bloaty,1759,5,1,6,10
aflplusplus,bloaty,308,9,1,10,10
aflplusplus,bloaty,30,6,4,10,10
aflplusplus,bloaty,1406,9,1,10,10
aflplusplus,bloaty,1321,9,1,10,10
aflplusplus,bloaty,31,8,2,10,10
aflplusplus,bloaty,309,10,0,10,10
aflplusplus,bloaty,447,9,1,10,10
aflplusplus,bloaty,448,8,0,8,10
aflplusplus,bloaty,449,8,0,8,10
aflplusplus,bloaty,32,8,0,8,10
aflplusplus,bloaty,310,9,1,10,10
aflplusplus,bloaty,1410,10,0,10,10
aflplusplus,bloaty,1411,10,0,10,10
aflplusplus,bloaty,33,0,10,10,10
aflplusplus,bloaty,34,0,10,10,10
aflplusplus,bloaty,1414,10,0,10,10
aflplusplus,bloaty,35,1,9,10,10
aflplusplus,bloaty,1415,10,0,10,10
aflplusplus,bloaty,1417,10,0,10,10
aflplusplus,bloaty,454,4,6,10,10
aflplusplus,bloaty,1419,10,0,10,10
aflplusplus,bloaty,1258,10,0,10,10
aflplusplus,bloaty,36,4,6,10,10
aflplusplus,bloaty,37,4,6,10,10
aflplusplus,bloaty,38,8,2,10,10
aflplusplus,bloaty,39,9,1,10,10
aflplusplus,bloaty,40,9,1,10,10
aflplusplus,bloaty,41,5,4,9,10
aflplusplus,bloaty,42,5,4,9,10
aflplusplus,bloaty,1427,9,0,9,10
aflplusplus,bloaty,43,4,5,9,10
aflplusplus,bloaty,44,8,1,9,10
aflplusplus,bloaty,46,9,1,10,10
aflplusplus,bloaty,47,8,2,10,10
aflplusplus,bloaty,48,8,2,10,10
aflplusplus,bloaty,49,7,1,8,10
aflplusplus,bloaty,50,7,0,7,10
aflplusplus,bloaty,51,1,6,7,10
aflplusplus,bloaty,52,0,7,7,10
aflplusplus,bloaty,53,1,6,7,10
aflplusplus,bloaty,462,7,0,7,10
aflplusplus,bloaty,54,1,6,7,10
aflplusplus,bloaty,329,9,1,10,10
aflplusplus,bloaty,330,9,1,10,10
aflplusplus,bloaty,55,7,2,9,10
aflplusplus,bloaty,56,5,4,9,10
aflplusplus,bloaty,332,9,0,9,10
aflplusplus,bloaty,1438,10,0,10,10
aflplusplus,bloaty,1439,8,2,10,10
aflplusplus,bloaty,57,6,4,10,10
aflplusplus,bloaty,58,5,5,10,10
aflplusplus,bloaty,59,5,5,10,10
aflplusplus,bloaty,1205,6,4,10,10
aflplusplus,bloaty,60,7,3,10,10
aflplusplus,bloaty,61,8,2,10,10
aflplusplus,bloaty,1208,6,4,10,10
aflplusplus,bloaty,62,5,5,10,10
aflplusplus,bloaty,1448,10,0,10,10
aflplusplus,bloaty,63,10,0,10,10
aflplusplus,bloaty,340,9,1,10,10
aflplusplus,bloaty,64,8,1,9,10
aflplusplus,bloaty,65,8,1,9,10
aflplusplus,bloaty,66,8,0,8,10
aflplusplus,bloaty,472,8,0,8,10
aflplusplus,bloaty,67,8,0,8,10
aflplusplus,bloaty,68,8,0,8,10
aflplusplus,bloaty,69,7,1,8,10
aflplusplus,bloaty,70,8,0,8,10
aflplusplus,bloaty,71,7,1,8,10
aflplusplus,bloaty,72,8,0,8,10
aflplusplus,bloaty,73,8,0,8,10
aflplusplus,bloaty,74,8,0,8,10
aflplusplus,bloaty,481,8,0,8,10
aflplusplus,bloaty,482,8,0,8,10
aflplusplus,bloaty,75,8,0,8,10
aflplusplus,bloaty,76,8,0,8,10
aflplusplus,bloaty,77,10,0,10,10
aflplusplus,bloaty,342,8,2,10,10
aflplusplus,bloaty,78,8,2,10,10
aflplusplus,bloaty,79,8,2,10,10
aflplusplus,bloaty,80,8,2,10,10
aflplusplus,bloaty,81,10,0,10,10
aflplusplus,bloaty,1350,10,0,10,10
aflplusplus,bloaty,82,5,5,10,10
aflplusplus,bloaty,345,9,1,10,10
aflplusplus,bloaty,346,9,1,10,10
aflplusplus,bloaty,83,8,1,9,10
aflplusplus,bloaty,84,9,0,9,10
aflplusplus,bloaty,348,8,1,9,10
aflplusplus,bloaty,85,8,1,9,10
aflplusplus,bloaty,350,9,1,10,10
aflplusplus,bloaty,351,9,1,10,10
aflplusplus,bloaty,352,9,1,10,10
aflplusplus,bloaty,1459,10,0,10,10
aflplusplus,bloaty,1460,10,0,10,10
aflplusplus,bloaty,1461,9,1,10,10
aflplusplus,bloaty,1462,10,0,10,10
aflplusplus,bloaty,86,9,1,10,10
aflplusplus,bloaty,87,10,0,10,10
aflplusplus,bloaty,1356,9,1,10,10
aflplusplus,bloaty,88,8,1,9,10
aflplusplus,bloaty,356,9,0,9,10
aflplusplus,bloaty,357,9,1,10,10
aflplusplus,bloaty,89,8,2,10,10
aflplusplus,bloaty,90,10,0,10,10
aflplusplus,bloaty,359,10,0,10,10
aflplusplus,bloaty,91,8,2,10,10
aflplusplus,bloaty,92,3,7,10,10
aflplusplus,bloaty,93,0,10,10,10
aflplusplus,bloaty,94,10,0,10,10
aflplusplus,bloaty,363,10,0,10,10
aflplusplus,bloaty,95,0,10,10,10
aflplusplus,bloaty,96,10,0,10,10
aflplusplus,bloaty,97,10,0,10,10
aflplusplus,bloaty,502,10,0,10,10
aflplusplus,bloaty,98,0,10,10,10
aflplusplus,bloaty,99,10,0,10,10
aflplusplus,bloaty,100,6,0,6,10
aflplusplus,bloaty,101,10,0,10,10
aflplusplus,bloaty,102,10,0,10,10
aflplusplus,bloaty,505,10,0,10,10
aflplusplus,bloaty,103,5,5,10,10
aflplusplus,bloaty,104,10,0,10,10
aflplusplus,bloaty,1819,10,0,10,10
aflplusplus,bloaty,105,10,0,10,10
aflplusplus,bloaty,106,8,2,10,10
aflplusplus,bloaty,107,7,3,10,10
aflplusplus,bloaty,108,10,0,10,10
aflplusplus,bloaty,1824,10,0,10,10
aflplusplus,bloaty,109,10,0,10,10
aflplusplus,bloaty,923,10,0,10,10
aflplusplus,bloaty,1827,10,0,10,10
aflplusplus,bloaty,110,3,7,10,10
aflplusplus,bloaty,924,10,0,10,10
aflplusplus,bloaty,111,10,0,10,10
aflplusplus,bloaty,112,9,1,10,10
aflplusplus,bloaty,113,7,3,10,10
aflplusplus,bloaty,114,10,0,10,10
aflplusplus,bloaty,115,10,0,10,10
aflplusplus,bloaty,116,10,0,10,10
aflplusplus,bloaty,372,10,0,10,10
aflplusplus,bloaty,373,10,0,10,10
aflplusplus,bloaty,374,10,0,10,10
aflplusplus,bloaty,375,10,0,10,10
aflplusplus,bloaty,519,8,2,10,10
aflplusplus,bloaty,376,10,0,10,10
aflplusplus,bloaty,377,10,0,10,10
aflplusplus,bloaty,378,6,4,10,10
aflplusplus,bloaty,379,7,3,10,10
aflplusplus,bloaty,380,4,6,10,10
aflplusplus,bloaty,381,6,4,10,10
aflplusplus,bloaty,382,6,4,10,10
aflplusplus,bloaty,383,4,6,10,10
aflplusplus,bloaty,117,10,0,10,10
aflplusplus,bloaty,118,10,0,10,10
aflplusplus,bloaty,119,10,0,10,10
aflplusplus,bloaty,120,10,0,10,10
aflplusplus,bloaty,121,10,0,10,10
aflplusplus,bloaty,122,10,0,10,10
aflplusplus,bloaty,123,10,0,10,10
aflplusplus,bloaty,124,10,0,10,10
aflplusplus,bloaty,125,10,0,10,10
aflplusplus,bloaty,126,10,0,10,10
aflplusplus,bloaty,127,10,0,10,10
aflplusplus,bloaty,128,3,7,10,10
aflplusplus,bloaty,534,3,0,3,10
aflplusplus,bloaty,535,3,0,3,10
aflplusplus,bloaty,536,3,0,3,10
aflplusplus,bloaty,537,3,0,3,10
aflplusplus,bloaty,538,3,0,3,10
aflplusplus,bloaty,129,10,0,10,10
aflplusplus,bloaty,130,10,0,10,10
aflplusplus,bloaty,131,10,0,10,10
aflplusplus,bloaty,386,7,3,10,10
aflplusplus,bloaty,132,10,0,10,10
aflplusplus,bloaty,133,10,0,10,10
aflplusplus,bloaty,134,6,4,10,10
aflplusplus,bloaty,1870,5,5,10,10
aflplusplus,bloaty,140,10,0,10,10
aflplusplus,bloaty,1482,10,0,10,10
aflplusplus,bloaty,141,10,0,10,10
aflplusplus,bloaty,1872,5,5,10,10
aflplusplus,bloaty,1873,5,5,10,10
aflplusplus,bloaty,1875,5,5,10,10
aflplusplus,bloaty,142,10,0,10,10
aflplusplus,bloaty,143,10,0,10,10
aflplusplus,bloaty,144,10,0,10,10
aflplusplus,bloaty,1485,10,0,10,10
aflplusplus,bloaty,145,9,1,10,10
aflplusplus,bloaty,1878,5,5,10,10
aflplusplus,bloaty,1226,8,2,10,10
aflplusplus,bloaty,146,6,4,10,10
aflplusplus,bloaty,1489,10,0,10,10
aflplusplus,bloaty,401,10,0,10,10
aflplusplus,bloaty,1491,6,4,10,10
aflplusplus,bloaty,556,9,1,10,10
aflplusplus,bloaty,147,0,10,10,10
aflplusplus,bloaty,1494,8,2,10,10
aflplusplus,bloaty,1496,10,0,10,10
aflplusplus,bloaty,1497,10,0,10,10
aflplusplus,bloaty,1498,9,1,10,10
aflplusplus,bloaty,1499,9,1,10,10
aflplusplus,bloaty,1500,10,0,10,10
aflplusplus,bloaty,1501,10,0,10,10
aflplusplus,bloaty,1502,7,3,10,10
aflplusplus,bloaty,149,0,10,10,10
aflplusplus,bloaty,150,0,10,10,10
aflplusplus,bloaty,151,10,0,10,10
aflplusplus,bloaty,1887,10,0,10,10
aflplusplus,bloaty,1665,10,0,10,10
aflplusplus,bloaty,152,10,0,10,10
aflplusplus,bloaty,153,10,0,10,10
aflplusplus,bloaty,1890,10,0,10,10
aflplusplus,bloaty,1891,10,0,10,10
aflplusplus,bloaty,154,10,0,10,10
aflplusplus,bloaty,155,6,1,7,10
aflplusplus,bloaty,566,7,0,7,10
aflplusplus,bloaty,567,10,0,10,10
aflplusplus,bloaty,1668,10,0,10,10
aflplusplus,bloaty,568,9,1,10,10
aflplusplus,bloaty,1895,10,0,10,10
aflplusplus,bloaty,1896,10,0,10,10
aflplusplus,bloaty,1897,10,0,10,10
aflplusplus,bloaty,156,10,0,10,10
aflplusplus,bloaty,1669,10,0,10,10
aflplusplus,bloaty,157,10,0,10,10
aflplusplus,bloaty,158,10,0,10,10
aflplusplus,bloaty,159,10,0,10,10
aflplusplus,bloaty,160,3,6,9,10
aflplusplus,bloaty,161,7,3,10,10
aflplusplus,bloaty,162,9,0,9,10
aflplusplus,bloaty,163,10,0,10,10
aflplusplus,bloaty,577,7,2,9,10
aflplusplus,bloaty,578,2,7,9,10
aflplusplus,bloaty,579,2,7,9,10
aflplusplus,bloaty,580,3,3,6,10
aflplusplus,bloaty,581,6,0,6,10
aflplusplus,bloaty,582,1,2,3,10
aflplusplus,bloaty,583,9,1,10,10
aflplusplus,bloaty,164,5,5,10,10
aflplusplus,bloaty,165,10,0,10,10
aflplusplus,bloaty,166,10,0,10,10
aflplusplus,bloaty,167,10,0,10,10
aflplusplus,bloaty,168,10,0,10,10
aflplusplus,bloaty,169,8,2,10,10
aflplusplus,bloaty,170,6,4,10,10
aflplusplus,bloaty,171,10,0,10,10
aflplusplus,bloaty,172,4,6,10,10
aflplusplus,bloaty,173,10,0,10,10
aflplusplus,bloaty,174,10,0,10,10
aflplusplus,bloaty,175,8,2,10,10
aflplusplus,bloaty,176,7,1,8,10
aflplusplus,bloaty,177,10,0,10,10
aflplusplus,bloaty,178,7,3,10,10
aflplusplus,bloaty,179,3,7,10,10
aflplusplus,bloaty,180,10,0,10,10
aflplusplus,bloaty,181,9,1,10,10
aflplusplus,bloaty,182,10,0,10,10
aflplusplus,bloaty,183,9,1,10,10
aflplusplus,bloaty,184,6,4,10,10
