mechanism_class,n_branches,aflplusplus,aflplusplus_n,honggfuzz,honggfuzz_n,libfuzzer,libfuzzer_n,libafl,libafl_n
ctx_corpus_inflation,2,0.500,2,0.000,2,0.500,2,0.000,2
ctx_iteration_path_depth,10,0.400,10,0.500,10,0.400,10,0.200,10
grimoire_structural_size_depth,1,1.000,1,1.000,1,1.000,1,0.000,1
grimoire_structural_token_assembly,5,0.800,5,0.800,5,0.800,5,0.000,5
i2s_anti_decoy_overfit,14,0.071,14,0.143,14,0.143,14,0.000,14
i2s_anti_structural_byte_corruption,7,1.000,7,0.857,7,1.000,7,0.000,7
i2s_anti_target_depletion,25,0.760,25,0.720,25,0.760,25,0.040,25
i2s_numeric_tag_substitution,39,0.641,39,0.385,39,0.897,39,0.590,39
i2s_operand_value_precision,6,0.833,6,0.833,6,0.833,6,0.833,6
i2s_relational_collision_gate,3,0.667,3,0.667,3,0.667,3,0.000,3
i2s_string_literal_substitution,184,0.696,184,0.647,184,0.652,184,0.549,184
i2s_structural_assembly_reach_depth,8,1.000,8,0.875,8,1.000,8,0.875,8
joint_assembly_depth,7,0.857,7,0.714,7,0.286,7,0.000,7
ngram_sequential_depth_reach,2,1.000,2,1.000,2,1.000,2,0.500,2
vp_admits_structurally_richer_corpus,5,1.000,5,1.000,5,1.000,5,0.000,5
vp_gradient_drives_assembly_depth,17,0.765,17,1.000,17,0.941,17,0.000,17
vp_gradient_value_distance_closure,39,0.744,39,0.692,39,0.872,39,0.103,39
vp_operand_byte_enrichment,5,0.600,5,0.800,5,1.000,5,0.000,5
vpc_anti_depth_diversion,3,0.667,3,0.333,3,0.333,3,0.000,3
