mechanism_class,n_branches,cmplog,cmplog_n,fast,fast_n,grimoire,grimoire_n,minimizer,minimizer_n,mopt,mopt_n,naive,naive_n,naive_ctx,naive_ctx_n,naive_ngram4,naive_ngram4_n,value_profile,value_profile_n,value_profile_cmplog,value_profile_cmplog_n
ctx_corpus_inflation,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ctx_depth_inflation_at_gate,2,0.000,1,1.000,1,1.000,1,1.000,1,1.000,1,1.000,1,0.000,1,1.000,1,1.000,1,0.000,1
decoy_overcommit_wrong_literal,6,0.000,6,1.000,6,0.000,6,1.000,6,1.000,6,1.000,6,1.000,6,1.000,6,1.000,6,0.000,6
i2s_anti_structural_byte_corruption,7,0.000,7,0.857,7,0.143,7,0.857,7,0.857,7,1.000,7,0.857,7,0.857,7,1.000,7,1.000,7
i2s_case_constant_decoy_substitution,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,1.000,1,0.000,1,1.000,1,0.000,1,0.000,1
i2s_decoy_substitution_overfit,6,0.000,6,0.833,6,0.000,6,0.833,6,0.833,6,1.000,6,0.833,6,0.833,6,1.000,6,0.000,6
i2s_decoy_substitution_target_depletion,23,0.000,22,0.909,22,0.045,22,0.955,22,1.000,22,1.000,22,0.909,22,0.909,22,1.000,22,0.000,22
i2s_energy_diversion_decoy_pin,2,0.000,1,0.000,1,0.000,1,1.000,1,0.000,1,1.000,1,0.000,1,0.000,1,0.000,1,0.000,1
i2s_exact_literal_constant_gate,6,1.000,5,0.000,5,0.800,5,0.000,5,0.000,5,0.000,5,0.000,5,0.000,5,0.000,5,0.000,5
i2s_exact_literal_gate,78,0.025,40,0.000,40,0.425,40,0.000,40,0.000,40,0.000,40,0.000,40,0.000,40,0.000,40,1.000,40
i2s_fixed_offset_literal_substitution,37,1.000,13,0.077,13,1.000,13,0.000,13,0.000,13,0.000,13,0.000,13,0.000,13,0.000,13,1.000,13
i2s_fixed_offset_literal_value_gate,73,1.000,49,0.020,49,0.939,49,0.000,49,0.000,49,0.000,49,0.000,49,0.000,49,0.000,49,1.000,49
i2s_literal_operand_substitution,3,1.000,2,1.000,2,1.000,2,0.500,2,0.000,2,0.000,2,0.500,2,0.000,2,0.000,2,1.000,2
i2s_literal_substitution_gate,1,1.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1
i2s_relational_collision_gate,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
iteration_depth_threshold,13,0.143,7,0.143,7,0.143,7,0.143,7,0.000,7,0.000,7,1.000,7,0.000,7,0.429,7,0.286,7
joint_assembly_depth,7,0.000,7,0.000,7,0.000,7,0.000,7,0.000,7,0.000,7,0.000,7,0.000,7,0.000,7,1.000,7
joint_value_precision,15,0.000,13,0.000,13,0.077,13,0.000,13,0.000,13,0.000,13,0.000,13,0.000,13,0.000,13,1.000,13
literal_value_gate_cmp_solvable,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ngram_sequential_depth_reach,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
parallel_fixed_offset_literal_gate,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
structural_depth_only,2,0.000,1,1.000,1,1.000,1,1.000,1,1.000,1,1.000,1,1.000,1,1.000,1,1.000,1,0.000,1
structural_token_assembly,9,0.000,2,0.500,2,1.000,2,0.500,2,0.500,2,0.500,2,0.500,2,0.500,2,0.500,2,0.000,2
vp_basin_escape,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
vp_cmpmap_gradient_distance_closure,5,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,1.000,1,1.000,1
vp_gradient_climbs_numeric_threshold,4,0.000,3,0.000,3,0.000,3,0.000,3,0.000,3,0.000,3,0.000,3,0.000,3,1.000,3,0.000,3
vp_gradient_distance_climb,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,1.000,1,0.000,1
vp_gradient_value_distance_climb,5,0.000,2,0.000,2,0.000,2,0.000,2,0.000,2,0.000,2,0.000,2,0.000,2,0.000,2,1.000,2
vp_gradient_value_distance_closed,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,1.000,1,1.000,1
vp_pro_cmpmap_gradient_rescue,1,0.000,1,0.000,1,0.000,1,0.000,1,0.000,1,1.000,1,1.000,1,0.000,1,1.000,1,1.000,1
