target,branch_id,n_resolving,n_blocking,has_decisive
bloaty,19,0,0,0
bloaty,21,0,0,0
bloaty,22,0,0,0
bloaty,23,0,0,0
bloaty,37,0,0,0
bloaty,42,0,0,0
bloaty,58,0,0,0
bloaty,62,0,0,0
bloaty,68,0,0,0
bloaty,73,0,0,0
bloaty,78,0,0,0
bloaty,118,0,0,0
bloaty,129,0,0,0
bloaty,139,0,0,0
bloaty,152,0,0,0
bloaty,165,0,0,0
bloaty,166,0,0,0
bloaty,167,0,0,0
bloaty,172,0,0,0
bloaty,210,0,0,0
bloaty,212,0,0,0
bloaty,263,0,0,0
bloaty,266,0,0,0
bloaty,272,0,0,0
bloaty,275,0,0,0
bloaty,277,0,0,0
bloaty,279,0,0,0
bloaty,289,0,0,0
bloaty,291,0,0,0
bloaty,297,0,0,0
bloaty,298,0,0,0
bloaty,303,0,0,0
bloaty,308,0,0,0
bloaty,405,0,0,0
bloaty,416,0,0,0
bloaty,505,0,0,0
bloaty,567,0,0,0
