target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
harfbuzz,6858,/src/harfbuzz/src/OT/glyf/glyf.hh,"bool OT::glyf_accelerator_t::get_points<OT::glyf_accelerator_t::points_aggregator_t>(hb_font_t*, unsigned int, OT::glyf_accelerator_t::points_aggregator_t) const",195,9,F,    if (gid >= num_glyphs) return false;,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":19.8,""hit_div"":2.3},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":19.8,""hit_div"":2.3}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",,,,0,10,0,0,10,0,10,0,0,,,,,,,,,,,,,,,,3,7,0,1.0,19.8,2.3,-BBR------,"/src/harfbuzz/src/OT/glyf/glyf.hh::bool OT::glyf_accelerator_t::get_points<OT::glyf_accelerator_t::points_aggregator_t>(hb_font_t*, unsigned int, OT::glyf_accelerator_t::points_aggregator_t) const::L150-199",1
harfbuzz,7245,/src/harfbuzz/src/hb-ot-font.cc,"hb-ot-font.cc:hb_ot_draw_glyph(hb_font_t*, void*, unsigned int, hb_draw_funcs_t*, void*, void*)",467,7,T,"  if (font->face->table.glyf->get_path (font, glyph, draw_session)) return;",2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":17.9,""hit_div"":1.5},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":17.9,""hit_div"":1.5}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",,,,0,10,0,0,10,0,9,1,0,,,,,,,,,,,,,,,,3,7,0,0.9,17.9,1.5,-BBR------,"/src/harfbuzz/src/hb-ot-font.cc::hb-ot-font.cc:hb_ot_draw_glyph(hb_font_t*, void*, unsigned int, hb_draw_funcs_t*, void*, void*)::L450-499",1
harfbuzz,5434,/src/harfbuzz/src/hb-ot-cmap-table.hh,"OT::cmap::accelerator_t::_cached_get(unsigned int, unsigned int*, hb_cache_t<21u, 16u, 8u, true>*) const",1913,20,T,      if (cache && ret),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":17.0,""hit_div"":21867.4}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,4,6,0,0,10,0,10,0,0,,,,,,,,,,,,,,,,8,2,0,1.0,17.0,21867.4,--BR------,"/src/harfbuzz/src/hb-ot-cmap-table.hh::OT::cmap::accelerator_t::_cached_get(unsigned int, unsigned int*, hb_cache_t<21u, 16u, 8u, true>*) const::L1900-1949",1
harfbuzz,5435,/src/harfbuzz/src/hb-ot-cmap-table.hh,"OT::cmap::accelerator_t::get_nominal_glyphs(unsigned int, unsigned int const*, unsigned int, unsigned int*, unsigned int, hb_cache_t<21u, 16u, 8u, true>*) const",1937,21,T,"	   done < count && _cached_get (*first_unicode, first_glyph, cache);",1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":17.0,""hit_div"":3438.7}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,4,6,0,0,10,0,10,0,0,,,,,,,,,,,,,,,,8,2,0,1.0,17.0,3438.7,--BR------,"/src/harfbuzz/src/hb-ot-cmap-table.hh::OT::cmap::accelerator_t::get_nominal_glyphs(unsigned int, unsigned int const*, unsigned int, unsigned int*, unsigned int, hb_cache_t<21u, 16u, 8u, true>*) const::L1900-1949",1
harfbuzz,5483,/src/harfbuzz/src/hb-ot-layout-common.hh,OT::ClassDef::get_class(unsigned int) const,2000,5,T,    case 4: return u.format4.get_class (glyph_id);,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":20.6,""hit_div"":162.0}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,0,10,0,7,3,0,,,,,,,,,,,,,,,,,,,1.0,20.6,162.0,BR--------,/src/harfbuzz/src/hb-ot-layout-common.hh::OT::ClassDef::get_class(unsigned int) const::L2000-2049,1
harfbuzz,5494,/src/harfbuzz/src/hb-ot-layout-common.hh,"OT::Device::get_y_delta(hb_font_t*, OT::VariationStore const&, float*) const",3579,13,T,    case 1: case 2: case 3:,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":21.7,""hit_div"":20.9}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,0,10,0,7,3,0,,,,,,,,,,,,,,,,,,,1.0,21.7,20.9,BR--------,"/src/harfbuzz/src/hb-ot-layout-common.hh::OT::Device::get_y_delta(hb_font_t*, OT::VariationStore const&, float*) const::L3550-3599",4
harfbuzz,5680,/src/harfbuzz/src/hb-ot-shape-normalize.cc,"hb-ot-shape-normalize.cc:decompose_current_character(hb_ot_shape_normalize_context_t const*, bool)",173,19,T,"  if (shortest && c->font->get_nominal_glyph (u, &glyph, c->not_found))",1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":17.0,""hit_div"":459.7}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,4,6,0,0,10,0,10,0,0,,,,,,,,,,,,,,,,8,2,0,1.0,17.0,459.7,--BR------,"/src/harfbuzz/src/hb-ot-shape-normalize.cc::hb-ot-shape-normalize.cc:decompose_current_character(hb_ot_shape_normalize_context_t const*, bool)::L150-199",3
harfbuzz,6048,/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc,"_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)",162,6,T,	if (matched) _output_with_dotted_circle (buffer);,1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":20.3,""hit_div"":4.3}]","[""cmplog"", ""value_profile_cmplog""]",5,5,0,0,10,0,8,2,0,10,0,0,10,0,0,3,7,0,4,6,0,8,2,0,6,4,0,2,8,0,1.0,20.3,4.3,-B-R------,"/src/harfbuzz/src/hb-ot-shaper-vowel-constraints.cc::_hb_preprocess_text_vowel_constraints(hb_ot_shape_plan_t const*, hb_buffer_t*, hb_font_t*)::L150-199",1
harfbuzz,5400,/src/harfbuzz/src/hb-ot-cmap-table.hh,OT::CmapSubtableFormat0::collect_unicodes(hb_set_t*) const,64,11,T,      if (glyphIdArray[i]),1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":14.9,""hit_div"":2143.0}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,4,6,0,0,10,0,9,1,0,,,,,,,,,,,,,,,,7,3,0,0.9,14.9,2143.0,--BR------,/src/harfbuzz/src/hb-ot-cmap-table.hh::OT::CmapSubtableFormat0::collect_unicodes(hb_set_t*) const::L50-99,1
harfbuzz,5431,/src/harfbuzz/src/hb-ot-cmap-table.hh,OT::cmap::accelerator_t::accelerator_t(hb_face_t*),1883,2,F,	default:,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":14.0,""hit_div"":61.8}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,3,7,0,0,10,0,9,1,0,,,,,,,,,,,,,,,,8,2,0,0.9,14.0,61.8,--BR------,/src/harfbuzz/src/hb-ot-cmap-table.hh::OT::cmap::accelerator_t::accelerator_t(hb_face_t*)::L1850-1899,3
