target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
lcms,2149,/src/Little-CMS/src/cmsio0.c,_cmsReadHeader,776,9,T,"    if (io -> Read(io, &Header, sizeof(cmsICCHeader), 1) != 1) {",3,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""naive"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":19.2,""hit_div"":0.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":19.2,""hit_div"":0.8},{""A"":""naive_ctx"",""B"":""naive"",""delta"":""ctx_coverage"",""direction"":""B>A"",""winner"":""naive"",""loser"":""naive_ctx"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":24.0,""hit_div"":1.0}]","[""cmplog"", ""naive"", ""naive_ctx"", ""value_profile"", ""value_profile_cmplog""]",10,0,0,2,8,0,10,0,0,2,8,0,0,10,0,,,,,,,9,1,0,9,1,0,2,8,0,1.0,24.0,1.0,RBRBB-----,/src/Little-CMS/src/cmsio0.c::_cmsReadHeader::L750-799,1
lcms,2674,/src/Little-CMS/src/cmslut.c,cmsPipelineAlloc,1373,12,T,       if (InputChannels >= cmsMAXCHANNELS ||,2,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":16.6,""hit_div"":1.4},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":16.6,""hit_div"":1.4}]","[""cmplog"", ""value_profile"", ""value_profile_cmplog""]",,,,0,10,0,0,10,0,10,0,0,,,,,,,,,,,,,,,,,,,1.0,16.6,1.4,-BBR------,/src/Little-CMS/src/cmslut.c::cmsPipelineAlloc::L1350-1399,1
lcms,2141,/src/Little-CMS/src/cmsio0.c,cmsio0.c:validDeviceClass,749,5,T,    case cmsSigInputClass:,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":22.2,""hit_div"":1.0}]","[""naive"", ""value_profile""]",0,10,0,2,8,0,10,0,0,6,4,0,,,,,,,,,,,,,,,,3,7,0,1.0,22.2,1.0,B-R-------,/src/Little-CMS/src/cmsio0.c::cmsio0.c:validDeviceClass::L700-749,2
lcms,2276,/src/Little-CMS/src/cmspcs.c,_cmsLCMScolorSpace,860,5,T,    case cmsSigMCHCData:,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":18.8,""hit_div"":1.3}]","[""naive"", ""value_profile""]",0,10,0,6,4,0,10,0,0,9,1,0,,,,,,,,,,,,,,,,6,4,0,1.0,18.8,1.3,B-R-------,/src/Little-CMS/src/cmspcs.c::_cmsLCMScolorSpace::L850-899,13
lcms,2288,/src/Little-CMS/src/cmspcs.c,cmsChannelsOfColorSpace,885,5,T,    case cmsSigMCH2Data:,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":18.6,""hit_div"":1.0}]","[""naive"", ""value_profile""]",0,10,0,7,3,0,10,0,0,9,1,0,,,,,,,,,,,,,,,,8,2,0,1.0,18.6,1.0,B-R-------,/src/Little-CMS/src/cmspcs.c::cmsChannelsOfColorSpace::L850-899,5
lcms,2303,/src/Little-CMS/src/cmspcs.c,cmsChannelsOfColorSpace,905,5,T,    case cmsSigMCH5Data:,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":18.9,""hit_div"":1.2}]","[""naive"", ""value_profile""]",0,10,0,7,3,0,10,0,0,9,1,0,,,,,,,,,,,,,,,,7,3,0,1.0,18.9,1.2,B-R-------,/src/Little-CMS/src/cmspcs.c::cmsChannelsOfColorSpace::L900-949,23
lcms,2417,/src/Little-CMS/src/cmsxform.c,cmsxform.c:GetXFormColorSpaces,1025,13,T,        if (cls == cmsSigNamedColorClass) {,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":22.4,""hit_div"":4.0}]","[""naive"", ""value_profile""]",0,10,0,5,5,0,10,0,0,4,6,0,,,,,,,,,,,,,,,,4,6,0,1.0,22.4,4.0,B-R-------,/src/Little-CMS/src/cmsxform.c::cmsxform.c:GetXFormColorSpaces::L1000-1049,1
lcms,2137,/src/Little-CMS/src/cmsio0.c,cmsio0.c:_validatedVersion,729,9,T,    if (*pByte > 0x09) *pByte = (cmsUInt8Number) 0x09;,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":10,""loser_blocked"":8,""prob_div"":0.8,""dur_div"":19.2,""hit_div"":1.1}]","[""value_profile"", ""value_profile_cmplog""]",9,1,0,4,6,0,10,0,0,2,8,0,10,0,0,9,1,0,10,0,0,9,1,0,10,0,0,3,7,0,0.8,19.2,1.1,--RB------,/src/Little-CMS/src/cmsio0.c::cmsio0.c:_validatedVersion::L700-749,2
lcms,2334,/src/Little-CMS/src/cmsplugin.c,_cmsReadTypeBase,444,9,T,"    if (io -> Read(io, &Base, sizeof(_cmsTagBase), 1) != 1)",1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":16.4,""hit_div"":0.9}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,3,7,0,0,10,0,8,2,0,,,,,,,,,,,,,,,,3,7,0,0.8,16.4,0.9,--BR------,/src/Little-CMS/src/cmsplugin.c::_cmsReadTypeBase::L400-449,1
lcms,2090,/src/Little-CMS/src/cmscnvrt.c,cmscnvrt.c:AddConversion,458,17,T,"            if (!cmsPipelineInsertStage(Result, cmsAT_END, _cmsStageAllocLab2XYZ(Result ->ContextID)))",1,"[{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":13.6,""hit_div"":5.1}]","[""cmplog"", ""value_profile_cmplog""]",0,0,10,2,8,0,0,0,10,9,1,0,,,,,,,,,,,,,,,,3,7,0,0.7,13.6,5.1,-B-R------,/src/Little-CMS/src/cmscnvrt.c::cmscnvrt.c:AddConversion::L450-499,1
