target,branch_id,n_resolving,n_blocking,has_decisive
libxml2,6181,0,0,0
libxml2,6214,0,0,0
libxml2,6223,0,0,0
libxml2,6236,0,0,0
libxml2,6253,0,0,0
libxml2,6263,0,0,0
libxml2,6402,0,117,1
libxml2,6405,1,26,1
libxml2,6539,0,0,0
libxml2,6585,0,0,0
libxml2,6613,0,0,0
libxml2,6812,0,0,0
libxml2,6813,0,0,0
libxml2,6814,0,0,0
libxml2,6815,0,0,0
libxml2,6858,0,0,0
libxml2,7170,0,0,0
libxml2,7239,0,0,0
libxml2,7245,0,0,0
libxml2,7296,1,22,1
libxml2,7311,1,22,1
libxml2,7352,2,19,1
libxml2,8138,1,7,1
libxml2,9361,2,74,1
libxml2,9435,2,30,1
libxml2,14503,0,0,0
