target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
sqlite3,14475,/src/sqlite3/bld/sqlite3.c,sqlite3.c:lookupName,97837,7,T,  if( zDb ){,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":9.1,""hit_div"":2.5},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":8.0,""hit_div"":0.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,2,8,0,9,1,0,9,1,0,3,7,0,2,8,0,,,,1,9,0,2,8,0,1,9,0,0.9,9.1,2.5,BBRR------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:lookupName::L97800-97849,1
sqlite3,14479,/src/sqlite3/bld/sqlite3.c,sqlite3.c:lookupName,97941,9,F,    if( zDb==0 && zTab!=0 && cntTab==0 ){,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":9.1,""hit_div"":2.5},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":9,""loser_blocked"":8,""prob_div"":0.7,""dur_div"":8.0,""hit_div"":0.8}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,2,8,0,9,1,0,9,1,0,3,7,0,2,8,0,,,,1,9,0,2,8,0,1,9,0,0.9,9.1,2.5,BBRR------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:lookupName::L97900-97949,1
sqlite3,14518,/src/sqlite3/bld/sqlite3.c,sqlite3.c:resolveExprStep,98662,5,T,    case TK_LE:,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":11.5,""hit_div"":2.1},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":11.0,""hit_div"":2.0}]","[""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,1,9,0,9,1,0,1,9,0,3,7,0,,,,,,,2,8,0,3,7,0,0,10,0,0.9,11.5,2.1,B-RB------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:resolveExprStep::L98650-98699,1
sqlite3,14577,/src/sqlite3/bld/sqlite3.c,sqlite3.c:sqlite3ExprCodeTarget,103533,5,T,,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":11.1,""hit_div"":2.0},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.8,""dur_div"":10.5,""hit_div"":1.9}]","[""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,1,9,0,9,1,0,1,9,0,3,7,0,,,,,,,2,8,0,3,7,0,0,10,0,0.9,11.1,2.0,B-RB------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:sqlite3ExprCodeTarget::L103500-103549,1
sqlite3,14589,/src/sqlite3/bld/sqlite3.c,sqlite3.c:sqlite3ExprCodeTarget,103568,5,T,,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":10.7,""hit_div"":7.5},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":13.1,""hit_div"":45.3}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",1,9,0,0,10,0,10,0,0,8,2,0,1,9,0,1,9,0,0,9,1,3,7,0,3,7,0,1,9,0,0.9,13.1,45.3,BBRR------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:sqlite3ExprCodeTarget::L103550-103599,1
sqlite3,14623,/src/sqlite3/bld/sqlite3.c,sqlite3.c:sqlite3TwoPartName,111036,7,T,,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":14.1,""hit_div"":4.1},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":15.9,""hit_div"":3.2}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,1,9,0,9,1,0,10,0,0,1,9,0,,,,,,,,,,,,,0,10,0,0.9,15.9,4.1,BBRR------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:sqlite3TwoPartName::L111000-111049,1
sqlite3,14675,/src/sqlite3/bld/sqlite3.c,sqlite3.c:sqlite3Vacuum,138735,7,T,,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":12.66,""hit_div"":4.1},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":14.8,""hit_div"":2.4}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,9,1,1,9,0,9,1,0,10,0,0,1,9,0,,,,,,,,,,,,,0,9,1,0.9,14.8,4.1,BBRR------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:sqlite3Vacuum::L138700-138749,1
sqlite3,14765,/src/sqlite3/bld/sqlite3.c,sqlite3.c:yy_reduce,157966,7,T,,2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":14.1,""hit_div"":4.1},{""A"":""value_profile_cmplog"",""B"":""cmplog"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""cmplog"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":15.9,""hit_div"":2.4}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,1,9,0,9,1,0,10,0,0,1,9,0,,,,,,,,,,,,,0,10,0,0.9,15.9,4.1,BBRR------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:yy_reduce::L157950-157999,1
sqlite3,14452,/src/sqlite3/bld/sqlite3.c,sqlite3.c:sqlite3VdbeExec,87188,1,T,"case OP_Le:               /* same as TK_LE, jump, in1, in3 */",2,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":11.3,""hit_div"":1.7},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""B>A"",""winner"":""value_profile"",""loser"":""value_profile_cmplog"",""winner_resolved"":8,""loser_blocked"":9,""prob_div"":0.7,""dur_div"":9.3,""hit_div"":1.6}]","[""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,1,9,0,8,2,0,1,9,0,2,8,0,,,,,,,2,8,0,3,7,0,0,10,0,0.8,11.3,1.7,B-RB------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:sqlite3VdbeExec::L87150-87199,1
sqlite3,14588,/src/sqlite3/bld/sqlite3.c,sqlite3.c:sqlite3ExprCodeTarget,103567,5,T,,1,"[{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":9,""loser_blocked"":10,""prob_div"":0.9,""dur_div"":9.2,""hit_div"":21.8}]","[""naive"", ""value_profile""]",0,10,0,3,7,0,9,1,0,8,2,0,2,8,0,2,8,0,,,,4,6,0,7,3,0,3,7,0,0.9,9.2,21.8,B-R-------,/src/sqlite3/bld/sqlite3.c::sqlite3.c:sqlite3ExprCodeTarget::L103550-103599,1
