target,A,B,delta_technique,n_A,n_B,mean_auc_A,mean_auc_B,delta_auc,p_auc,auc_dir,mean_final_A,mean_final_B,delta_final,p_final,final_dir,admissible
bloaty,cmplog,naive,I2S,10,10,114465600.0,88210440.0,26255160.0,0.0002,A>B,1615.5,1091.9,523.6,0.0002,A>B,True
bloaty,value_profile,naive,value_profile,10,10,92211300.0,88210440.0,4000860.0,0.014,A>B,1166.2,1091.9,74.3,0.014,A>B,True
bloaty,value_profile_cmplog,cmplog,value_profile,10,10,141282000.0,114465600.0,26816400.0,0.0022,A>B,1958.7,1615.5,343.2,0.0081,A>B,True
bloaty,value_profile_cmplog,value_profile,I2S,10,10,141282000.0,92211300.0,49070700.0,0.0002,A>B,1958.7,1166.2,792.5,0.0002,A>B,True
bloaty,naive_ctx,naive,ctx_coverage,10,10,86954400.0,88210440.0,-1256040.0,0.0342,B>A,1081.5,1091.9,-10.4,0.1615,B>A,True
bloaty,naive_ngram4,naive,ngram_coverage,10,10,87679260.0,88210440.0,-531180.0,0.2413,B>A,1098.8,1091.9,6.9,0.9397,A>B,False
bloaty,mopt,naive,mopt_mutation,10,10,88352640.0,88210440.0,142200.0,0.8501,A>B,1106.7,1091.9,14.8,0.1116,A>B,False
bloaty,minimizer,naive,calibrated_energy,10,10,89506620.0,88210440.0,1296180.0,0.4727,A>B,1153.9,1091.9,62.0,0.104,A>B,False
bloaty,fast,minimizer,aflfast_rarity,10,10,88537320.0,89506620.0,-969300.0,0.7913,B>A,1135.0,1153.9,-18.9,0.9097,B>A,False
bloaty,grimoire,cmplog,grimoire_structural,10,10,104986620.0,114465600.0,-9478980.0,0.0173,B>A,1439.9,1615.5,-175.6,0.0586,B>A,True
lcms,cmplog,naive,I2S,10,10,125989380.0,89122680.0,36866700.0,0.0002,A>B,1589.7,1257.7,332.0,0.0002,A>B,True
lcms,value_profile,naive,value_profile,10,10,103194540.0,89122680.0,14071860.0,0.0173,A>B,1337.8,1257.7,80.1,0.0002,A>B,True
lcms,value_profile_cmplog,cmplog,value_profile,10,10,149837400.0,125989380.0,23848020.0,0.0073,A>B,1890.7,1589.7,301.0,0.0073,A>B,True
lcms,value_profile_cmplog,value_profile,I2S,10,10,149837400.0,103194540.0,46642860.0,0.0002,A>B,1890.7,1337.8,552.9,0.0002,A>B,True
lcms,naive_ctx,naive,ctx_coverage,10,10,101728440.0,89122680.0,12605760.0,0.0311,A>B,1256.6,1257.7,-1.1,0.4424,B>A,True
lcms,naive_ngram4,naive,ngram_coverage,10,10,82297260.0,89122680.0,-6825420.0,0.3847,B>A,1257.2,1257.7,-0.5,0.5669,B>A,False
lcms,mopt,naive,mopt_mutation,10,10,97807140.0,89122680.0,8684460.0,0.0757,A>B,1260.1,1257.7,2.4,0.0797,A>B,False
lcms,minimizer,naive,calibrated_energy,10,10,86412780.0,89122680.0,-2709900.0,0.9698,B>A,1257.5,1257.7,-0.2,0.5651,B>A,False
lcms,fast,minimizer,aflfast_rarity,10,10,78725160.0,86412780.0,-7687620.0,0.4727,B>A,1258.7,1257.5,1.2,0.3405,A>B,False
lcms,grimoire,cmplog,grimoire_structural,10,10,126077760.0,125989380.0,88380.0,0.7337,A>B,1591.6,1589.7,1.9,0.9698,A>B,False
