target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
bloaty,naive,1,24,3600,86400,73804,87624000.0,0.014339,1095
bloaty,naive,2,24,3600,86400,73804,90171000.0,0.014756,1106
bloaty,naive,3,24,3600,86400,73804,89452800.0,0.014638,1104
bloaty,naive,4,24,3600,86400,73804,86592600.0,0.01417,1072
bloaty,naive,5,24,3600,86400,73804,88601400.0,0.014499,1089
bloaty,naive,6,24,3600,86400,73804,89244000.0,0.014604,1113
bloaty,naive,7,24,3600,86400,73804,87429600.0,0.014307,1072
bloaty,naive,8,24,3600,86400,73804,86486400.0,0.014153,1077
bloaty,naive,9,24,3600,86400,73804,88943400.0,0.014555,1099
bloaty,naive,10,24,3600,86400,73804,87559200.0,0.014328,1092
bloaty,cmplog,1,24,3600,86400,73804,107663400.0,0.017618,1370
bloaty,cmplog,2,24,3600,86400,73804,142772400.0,0.023363,2046
bloaty,cmplog,3,24,3600,86400,73804,104104800.0,0.017036,1356
bloaty,cmplog,4,24,3600,86400,73804,107339400.0,0.017565,1381
bloaty,cmplog,5,24,3600,86400,73804,115444800.0,0.018891,1950
bloaty,cmplog,6,24,3600,86400,73804,111690000.0,0.018277,1438
bloaty,cmplog,7,24,3600,86400,73804,109780200.0,0.017964,1872
bloaty,cmplog,8,24,3600,86400,73804,129661200.0,0.021218,1965
bloaty,cmplog,9,24,3600,86400,73804,107757000.0,0.017633,1396
bloaty,cmplog,10,24,3600,86400,73804,108442800.0,0.017746,1381
bloaty,value_profile,1,24,3600,86400,73804,91096200.0,0.014907,1190
bloaty,value_profile,2,24,3600,86400,73804,89917200.0,0.014714,1140
bloaty,value_profile,3,24,3600,86400,73804,87620400.0,0.014338,1085
bloaty,value_profile,4,24,3600,86400,73804,93315600.0,0.01527,1167
bloaty,value_profile,5,24,3600,86400,73804,94415400.0,0.01545,1187
bloaty,value_profile,6,24,3600,86400,73804,97594200.0,0.01597,1256
