target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
curl,naive,1,24,3600,86400,81554,404602200.0,0.059917,5026
curl,naive,2,24,3600,86400,81554,389106000.0,0.057623,5091
curl,naive,3,24,3600,86400,81554,395780400.0,0.058611,5015
curl,naive,4,24,3600,86400,81554,389318400.0,0.057654,5063
curl,naive,5,24,3600,86400,81554,398102400.0,0.058955,5016
curl,naive,6,24,3600,86400,81554,397092600.0,0.058805,4958
curl,naive,7,24,3600,86400,81554,400154400.0,0.059259,5090
curl,naive,8,24,3600,86400,81554,395609400.0,0.058586,5017
curl,naive,9,24,3600,86400,81554,387453600.0,0.057378,4990
curl,naive,10,24,3600,86400,81554,390978000.0,0.0579,5017
curl,cmplog,1,24,3600,86400,81554,485530200.0,0.071902,6155
curl,cmplog,2,24,3600,86400,81554,477603000.0,0.070728,5991
curl,cmplog,3,24,3600,86400,81554,580539600.0,0.085972,7630
curl,cmplog,4,24,3600,86400,81554,487285200.0,0.072162,6086
curl,cmplog,5,24,3600,86400,81554,505809000.0,0.074905,6441
curl,cmplog,6,24,3600,86400,81554,482407200.0,0.071439,6157
curl,cmplog,7,24,3600,86400,81554,481627800.0,0.071324,6110
curl,cmplog,8,24,3600,86400,81554,483372000.0,0.071582,6109
curl,cmplog,9,24,3600,86400,81554,469990800.0,0.069601,6051
curl,cmplog,10,24,3600,86400,81554,500423400.0,0.074107,6419
curl,value_profile,1,24,3600,86400,81554,399585600.0,0.059174,5056
curl,value_profile,2,24,3600,86400,81554,402854400.0,0.059659,5080
curl,value_profile,3,24,3600,86400,81554,402289200.0,0.059575,5021
curl,value_profile,4,24,3600,86400,81554,397515600.0,0.058868,5000
curl,value_profile,5,24,3600,86400,81554,384667200.0,0.056965,5848
curl,value_profile,6,24,3600,86400,81554,403630200.0,0.059773,5034
curl,value_profile,7,24,3600,86400,81554,399924000.0,0.059225,5089
curl,value_profile,8,24,3600,86400,81554,393030000.0,0.058204,5064
curl,value_profile,9,24,3600,86400,81554,403491600.0,0.059753,5013
curl,value_profile,10,24,3600,86400,81554,392245200.0,0.058087,4951
curl,value_profile_cmplog,1,24,3600,86400,81554,550864800.0,0.081577,7329
curl,value_profile_cmplog,2,24,3600,86400,81554,549165600.0,0.081326,7418
curl,value_profile_cmplog,3,24,3600,86400,81554,507621600.0,0.075173,7535
curl,value_profile_cmplog,4,24,3600,86400,81554,525171600.0,0.077772,7412
curl,value_profile_cmplog,5,24,3600,86400,81554,479788200.0,0.071052,6229
curl,value_profile_cmplog,6,24,3600,86400,81554,573987600.0,0.085002,7532
curl,value_profile_cmplog,7,24,3600,86400,81554,482110200.0,0.071395,6451
curl,value_profile_cmplog,8,24,3600,86400,81554,494920800.0,0.073293,6460
curl,value_profile_cmplog,9,24,3600,86400,81554,488799000.0,0.072386,6271
curl,value_profile_cmplog,10,24,3600,86400,81554,516213000.0,0.076446,6567
curl,naive_ctx,1,24,3600,86400,81554,397328400.0,0.05884,5065
curl,naive_ctx,2,24,3600,86400,81554,395047800.0,0.058502,4939
curl,naive_ctx,3,24,3600,86400,81554,397389600.0,0.058849,5064
curl,naive_ctx,4,24,3600,86400,81554,402264000.0,0.059571,5055
curl,naive_ctx,5,24,3600,86400,81554,400021200.0,0.059239,4986
curl,naive_ctx,6,24,3600,86400,81554,403021800.0,0.059683,5053
curl,naive_ctx,7,24,3600,86400,81554,402904800.0,0.059666,5050
curl,naive_ctx,8,24,3600,86400,81554,398734200.0,0.059048,5041
curl,naive_ctx,9,24,3600,86400,81554,404182800.0,0.059855,5031
curl,naive_ctx,10,24,3600,86400,81554,391743000.0,0.058013,4968
curl,naive_ngram4,1,24,3600,86400,81554,407358000.0,0.060325,5087
curl,naive_ngram4,2,24,3600,86400,81554,397911600.0,0.058927,5022
curl,naive_ngram4,3,24,3600,86400,81554,404377200.0,0.059884,5080
curl,naive_ngram4,4,24,3600,86400,81554,402355800.0,0.059585,5094
curl,naive_ngram4,5,24,3600,86400,81554,390672000.0,0.057854,5012
curl,naive_ngram4,6,24,3600,86400,81554,392250600.0,0.058088,5011
curl,naive_ngram4,7,24,3600,86400,81554,390607200.0,0.057845,4962
curl,naive_ngram4,8,24,3600,86400,81554,396057600.0,0.058652,5100
curl,naive_ngram4,9,24,3600,86400,81554,400717800.0,0.059342,5003
curl,naive_ngram4,10,24,3600,86400,81554,388780200.0,0.057574,4975
curl,mopt,1,24,3600,86400,81554,377542800.0,0.05591,4884
curl,mopt,2,24,3600,86400,81554,395294400.0,0.058539,4980
curl,mopt,3,24,3600,86400,81554,380638800.0,0.056369,4944
curl,mopt,4,24,3600,86400,81554,398610000.0,0.05903,5080
curl,mopt,5,24,3600,86400,81554,385169400.0,0.05704,4915
curl,mopt,6,24,3600,86400,81554,392599800.0,0.05814,4897
curl,mopt,7,24,3600,86400,81554,392902200.0,0.058185,4977
curl,mopt,8,24,3600,86400,81554,388445400.0,0.057525,4911
curl,mopt,9,24,3600,86400,81554,394439400.0,0.058412,4960
curl,mopt,10,24,3600,86400,81554,387741600.0,0.05742,4996
curl,minimizer,1,24,3600,86400,81554,395002800.0,0.058496,4966
curl,minimizer,2,24,3600,86400,81554,401959800.0,0.059526,5011
curl,minimizer,3,24,3600,86400,81554,409536000.0,0.060648,5278
curl,minimizer,4,24,3600,86400,81554,413060400.0,0.06117,5222
curl,minimizer,5,24,3600,86400,81554,416289600.0,0.061648,5282
curl,minimizer,6,24,3600,86400,81554,409622400.0,0.060661,5144
curl,minimizer,7,24,3600,86400,81554,415848600.0,0.061583,5318
curl,minimizer,8,24,3600,86400,81554,418393800.0,0.06196,5242
curl,minimizer,9,24,3600,86400,81554,400118400.0,0.059253,5082
curl,minimizer,10,24,3600,86400,81554,401216400.0,0.059416,5082
curl,fast,1,24,3600,86400,81554,421675200.0,0.062446,5276
curl,fast,2,24,3600,86400,81554,464740200.0,0.068823,6553
curl,fast,3,24,3600,86400,81554,405223200.0,0.060009,5335
curl,fast,4,24,3600,86400,81554,385371000.0,0.057069,5060
curl,fast,5,24,3600,86400,81554,418863600.0,0.062029,5487
curl,fast,6,24,3600,86400,81554,417243600.0,0.061789,5296
curl,fast,7,24,3600,86400,81554,409599000.0,0.060657,5311
curl,fast,8,24,3600,86400,81554,442911600.0,0.065591,7561
curl,fast,9,24,3600,86400,81554,424540800.0,0.06287,5371
curl,fast,10,24,3600,86400,81554,405963000.0,0.060119,5150
curl,grimoire,1,24,3600,86400,81554,500365800.0,0.074099,6593
curl,grimoire,2,24,3600,86400,81554,494397000.0,0.073215,6272
curl,grimoire,3,24,3600,86400,81554,510136200.0,0.075546,6592
curl,grimoire,4,24,3600,86400,81554,484032600.0,0.07168,6177
curl,grimoire,5,24,3600,86400,81554,484270200.0,0.071715,6160
curl,grimoire,6,24,3600,86400,81554,589390200.0,0.087283,7920
curl,grimoire,7,24,3600,86400,81554,492301800.0,0.072905,6456
curl,grimoire,8,24,3600,86400,81554,492084000.0,0.072872,6402
curl,grimoire,9,24,3600,86400,81554,489079800.0,0.072428,6605
curl,grimoire,10,24,3600,86400,81554,493848000.0,0.073134,6379
harfbuzz,naive,1,24,3600,86400,17002,327972600.0,0.232974,4076
harfbuzz,naive,2,24,3600,86400,17002,321692400.0,0.228513,4074
harfbuzz,naive,3,24,3600,86400,17002,324500400.0,0.230507,4106
harfbuzz,naive,4,24,3600,86400,17002,336297600.0,0.238887,4255
harfbuzz,naive,5,24,3600,86400,17002,325967400.0,0.231549,4146
harfbuzz,naive,6,24,3600,86400,17002,332310600.0,0.236055,4185
harfbuzz,naive,7,24,3600,86400,17002,329153400.0,0.233813,4193
harfbuzz,naive,8,24,3600,86400,17002,328168800.0,0.233113,4157
harfbuzz,naive,9,24,3600,86400,17002,329970600.0,0.234393,4188
harfbuzz,naive,10,24,3600,86400,17002,340266600.0,0.241707,4286
harfbuzz,cmplog,1,24,3600,86400,17002,382435200.0,0.271661,5028
harfbuzz,cmplog,2,24,3600,86400,17002,375087600.0,0.266442,4737
harfbuzz,cmplog,3,24,3600,86400,17002,389446200.0,0.276641,5163
harfbuzz,cmplog,4,24,3600,86400,17002,380365200.0,0.270191,4846
harfbuzz,cmplog,5,24,3600,86400,17002,369286200.0,0.262321,4717
harfbuzz,cmplog,6,24,3600,86400,17002,382554000.0,0.271746,5145
