target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
curl,naive,1,24,600,14400,81554,67211700.0,0.05972,5031
curl,naive,2,24,600,14400,81554,62046300.0,0.05513,4905
curl,naive,3,24,600,14400,81554,64380900.0,0.057205,4908
curl,naive,4,24,600,14400,81554,63895200.0,0.056773,4918
curl,naive,5,24,600,14400,81554,64422300.0,0.057242,4903
curl,naive,6,24,600,14400,81554,63482700.0,0.056407,4895
curl,naive,7,24,600,14400,81554,60858900.0,0.054075,4873
curl,naive,8,24,600,14400,81554,63387900.0,0.056323,4907
curl,naive,9,24,600,14400,81554,63354600.0,0.056293,4902
curl,naive,10,24,600,14400,81554,65579100.0,0.058269,4906
curl,cmplog,1,24,600,14400,81554,77192400.0,0.068588,5883
curl,cmplog,2,24,600,14400,81554,77600700.0,0.068951,5880
curl,cmplog,3,24,600,14400,81554,77227800.0,0.06862,5769
curl,cmplog,4,24,600,14400,81554,76226100.0,0.06773,5973
curl,cmplog,5,24,600,14400,81554,75895500.0,0.067436,5805
curl,cmplog,6,24,600,14400,81554,79124100.0,0.070305,5941
curl,cmplog,7,24,600,14400,81554,76895100.0,0.068324,5832
curl,cmplog,8,24,600,14400,81554,78736500.0,0.06996,6010
curl,cmplog,9,24,600,14400,81554,77093100.0,0.0685,5963
curl,cmplog,10,24,600,14400,81554,77625300.0,0.068973,5928
curl,value_profile,1,24,600,14400,81554,66541800.0,0.059125,4972
curl,value_profile,2,24,600,14400,81554,60929700.0,0.054138,4794
curl,value_profile,3,24,600,14400,81554,66085500.0,0.058719,4949
curl,value_profile,4,24,600,14400,81554,65238300.0,0.057967,4912
curl,value_profile,5,24,600,14400,81554,65275800.0,0.058,4899
curl,value_profile,6,24,600,14400,81554,64800300.0,0.057577,4957
curl,value_profile,7,24,600,14400,81554,65880300.0,0.058537,4956
curl,value_profile,8,24,600,14400,81554,65917500.0,0.05857,4973
curl,value_profile,9,24,600,14400,81554,65051100.0,0.0578,4940
curl,value_profile,10,24,600,14400,81554,64834500.0,0.057608,4986
curl,value_profile_cmplog,1,24,600,14400,81554,80773800.0,0.071771,6098
curl,value_profile_cmplog,2,24,600,14400,81554,79888500.0,0.070984,6057
curl,value_profile_cmplog,3,24,600,14400,81554,79338900.0,0.070496,6120
curl,value_profile_cmplog,4,24,600,14400,81554,77225400.0,0.068618,5908
curl,value_profile_cmplog,5,24,600,14400,81554,92734800.0,0.082398,7302
curl,value_profile_cmplog,6,24,600,14400,81554,77944200.0,0.069256,5902
curl,value_profile_cmplog,7,24,600,14400,81554,78790800.0,0.070009,6010
curl,value_profile_cmplog,8,24,600,14400,81554,78814500.0,0.07003,6024
curl,value_profile_cmplog,9,24,600,14400,81554,75573300.0,0.06715,5819
curl,value_profile_cmplog,10,24,600,14400,81554,78635400.0,0.06987,5904
