target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
libxml2,naive,1,24,600,14400,62948,115794600.0,0.133299,9245
libxml2,naive,2,24,600,14400,62948,112806300.0,0.129859,9038
libxml2,naive,3,24,600,14400,62948,113138100.0,0.130241,8952
libxml2,naive,4,24,600,14400,62948,111348600.0,0.128181,9110
libxml2,naive,5,24,600,14400,62948,116751600.0,0.134401,8980
libxml2,naive,6,24,600,14400,62948,109244100.0,0.125758,9091
libxml2,naive,7,24,600,14400,62948,112227300.0,0.129193,9019
libxml2,naive,8,24,600,14400,62948,108519000.0,0.124924,9073
libxml2,naive,9,24,600,14400,62948,108438600.0,0.124831,8805
libxml2,naive,10,24,600,14400,62948,113056200.0,0.130147,8878
libxml2,cmplog,1,24,600,14400,62948,116805600.0,0.134463,9337
libxml2,cmplog,2,24,600,14400,62948,117390900.0,0.135137,9286
libxml2,cmplog,3,24,600,14400,62948,116989200.0,0.134674,9256
libxml2,cmplog,4,24,600,14400,62948,112788900.0,0.129839,8939
libxml2,cmplog,5,24,600,14400,62948,108983400.0,0.125458,9079
libxml2,cmplog,6,24,600,14400,62948,119577600.0,0.137654,9353
libxml2,cmplog,7,24,600,14400,62948,104922900.0,0.120784,8588
libxml2,cmplog,8,24,600,14400,62948,111626400.0,0.128501,9245
libxml2,cmplog,9,24,600,14400,62948,119685000.0,0.137778,9337
libxml2,cmplog,10,24,600,14400,62948,115598100.0,0.133073,9354
libxml2,value_profile,1,24,600,14400,62948,114162600.0,0.13142,9234
libxml2,value_profile,2,24,600,14400,62948,116009100.0,0.133546,9362
libxml2,value_profile,3,24,600,14400,62948,119643000.0,0.137729,9670
libxml2,value_profile,4,24,600,14400,62948,119274000.0,0.137304,9693
libxml2,value_profile,5,24,600,14400,62948,122287800.0,0.140774,9719
libxml2,value_profile,6,24,600,14400,62948,103933200.0,0.119645,8396
libxml2,value_profile,7,24,600,14400,62948,120033300.0,0.138179,9650
libxml2,value_profile,8,24,600,14400,62948,117060300.0,0.134756,9468
libxml2,value_profile,9,24,600,14400,62948,109430700.0,0.125973,9038
libxml2,value_profile,10,24,600,14400,62948,111803100.0,0.128704,9582
libxml2,value_profile_cmplog,1,24,600,14400,62948,121693200.0,0.140089,9607
libxml2,value_profile_cmplog,2,24,600,14400,62948,117346500.0,0.135086,9797
libxml2,value_profile_cmplog,3,24,600,14400,62948,119598000.0,0.137677,9862
libxml2,value_profile_cmplog,4,24,600,14400,62948,123409500.0,0.142065,10025
libxml2,value_profile_cmplog,5,24,600,14400,62948,123036300.0,0.141636,9727
libxml2,value_profile_cmplog,6,24,600,14400,62948,121460700.0,0.139822,9596
libxml2,value_profile_cmplog,7,24,600,14400,62948,128323200.0,0.147722,9940
libxml2,value_profile_cmplog,8,24,600,14400,62948,117995100.0,0.135832,9686
libxml2,value_profile_cmplog,9,24,600,14400,62948,117579000.0,0.135353,9793
libxml2,value_profile_cmplog,10,24,600,14400,62948,114198300.0,0.131462,9674
