target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
openthread,naive,1,24,600,14400,26512,38367000.0,0.104866,2874
openthread,naive,2,24,600,14400,26512,39225300.0,0.107212,2887
openthread,naive,3,24,600,14400,26512,38910300.0,0.106351,2906
openthread,naive,4,24,600,14400,26512,38965800.0,0.106503,2908
openthread,naive,5,24,600,14400,26512,39054900.0,0.106747,2887
openthread,naive,6,24,600,14400,26512,38369100.0,0.104872,2791
openthread,naive,7,24,600,14400,26512,39521400.0,0.108022,2932
openthread,naive,8,24,600,14400,26512,39396300.0,0.10768,2902
openthread,naive,9,24,600,14400,26512,38494800.0,0.105216,2797
openthread,naive,10,24,600,14400,26512,38570100.0,0.105421,2899
openthread,cmplog,1,24,600,14400,26512,40438800.0,0.110529,3003
openthread,cmplog,2,24,600,14400,26512,41562300.0,0.1136,3030
openthread,cmplog,3,24,600,14400,26512,41498100.0,0.113424,3028
openthread,cmplog,4,24,600,14400,26512,41141100.0,0.112449,3010
openthread,cmplog,5,24,600,14400,26512,41088300.0,0.112304,3009
openthread,cmplog,6,24,600,14400,26512,41274000.0,0.112812,3037
openthread,cmplog,7,24,600,14400,26512,41485500.0,0.11339,3018
openthread,cmplog,8,24,600,14400,26512,41564100.0,0.113605,3023
openthread,cmplog,9,24,600,14400,26512,41460000.0,0.11332,3046
openthread,cmplog,10,24,600,14400,26512,41457300.0,0.113313,3033
openthread,value_profile,1,24,600,14400,26512,38726400.0,0.105849,2885
openthread,value_profile,2,24,600,14400,26512,38064000.0,0.104038,2791
openthread,value_profile,3,24,600,14400,26512,38922600.0,0.106385,2893
openthread,value_profile,4,24,600,14400,26512,38818800.0,0.106101,2882
openthread,value_profile,5,24,600,14400,26512,38820600.0,0.106106,2885
openthread,value_profile,6,24,600,14400,26512,38400600.0,0.104958,2799
openthread,value_profile,7,24,600,14400,26512,38859600.0,0.106213,2882
openthread,value_profile,8,24,600,14400,26512,39422700.0,0.107752,2892
openthread,value_profile,9,24,600,14400,26512,38934900.0,0.106419,2871
openthread,value_profile,10,24,600,14400,26512,39409200.0,0.107715,2912
openthread,value_profile_cmplog,1,24,600,14400,26512,41464800.0,0.113333,3020
openthread,value_profile_cmplog,2,24,600,14400,26512,41519400.0,0.113483,3050
openthread,value_profile_cmplog,3,24,600,14400,26512,41283600.0,0.112838,3011
openthread,value_profile_cmplog,4,24,600,14400,26512,41014500.0,0.112103,3023
openthread,value_profile_cmplog,5,24,600,14400,26512,41283900.0,0.112839,3023
openthread,value_profile_cmplog,6,24,600,14400,26512,41599500.0,0.113702,3034
openthread,value_profile_cmplog,7,24,600,14400,26512,41251800.0,0.112751,3045
openthread,value_profile_cmplog,8,24,600,14400,26512,41594400.0,0.113688,3061
openthread,value_profile_cmplog,9,24,600,14400,26512,41672100.0,0.1139,3061
openthread,value_profile_cmplog,10,24,600,14400,26512,41272200.0,0.112807,3014
